Targets: 13000 (skipped top 10000)
Files to modify: 23
Resuming from checkpoint: 0 already processed
Warming up Gemma...
Ready.
  3450/13000 ok=3449 fail=1 rate=0.40/s ETA=395m file=worldbank.jsonl
  3475/13000 ok=3474 fail=1 rate=0.40/s ETA=394m file=worldbank.jsonl
  3500/13000 ok=3499 fail=1 rate=0.40/s ETA=392m file=worldbank.jsonl
  3525/13000 ok=3524 fail=1 rate=0.40/s ETA=391m file=worldbank.jsonl
  3550/13000 ok=3549 fail=1 rate=0.40/s ETA=390m file=worldbank.jsonl
  3575/13000 ok=3574 fail=1 rate=0.40/s ETA=389m file=worldbank.jsonl
  3600/13000 ok=3599 fail=1 rate=0.40/s ETA=388m file=worldbank.jsonl
  3625/13000 ok=3624 fail=1 rate=0.40/s ETA=387m file=worldbank.jsonl
  3650/13000 ok=3649 fail=1 rate=0.40/s ETA=386m file=worldbank.jsonl
  3675/13000 ok=3674 fail=1 rate=0.40/s ETA=384m file=worldbank.jsonl
  3700/13000 ok=3699 fail=1 rate=0.40/s ETA=383m file=worldbank.jsonl
  3725/13000 ok=3724 fail=1 rate=0.40/s ETA=382m file=worldbank.jsonl
  3750/13000 ok=3749 fail=1 rate=0.40/s ETA=381m file=worldbank.jsonl
  3775/13000 ok=3774 fail=1 rate=0.40/s ETA=380m file=worldbank.jsonl
  3800/13000 ok=3799 fail=1 rate=0.41/s ETA=379m file=worldbank.jsonl
  3825/13000 ok=3824 fail=1 rate=0.41/s ETA=377m file=worldbank.jsonl
  3850/13000 ok=3849 fail=1 rate=0.41/s ETA=376m file=worldbank.jsonl
  3875/13000 ok=3874 fail=1 rate=0.41/s ETA=375m file=worldbank.jsonl
  3900/13000 ok=3899 fail=1 rate=0.41/s ETA=374m file=worldbank.jsonl
  3925/13000 ok=3924 fail=1 rate=0.41/s ETA=372m file=worldbank.jsonl
  3950/13000 ok=3949 fail=1 rate=0.41/s ETA=371m file=worldbank.jsonl
  3975/13000 ok=3974 fail=1 rate=0.41/s ETA=370m file=worldbank.jsonl
  4000/13000 ok=3999 fail=1 rate=0.41/s ETA=369m file=worldbank.jsonl
  4025/13000 ok=4024 fail=1 rate=0.41/s ETA=368m file=worldbank.jsonl
  4050/13000 ok=4049 fail=1 rate=0.41/s ETA=367m file=worldbank.jsonl
  4075/13000 ok=4074 fail=1 rate=0.41/s ETA=366m file=worldbank.jsonl
  4100/13000 ok=4099 fail=1 rate=0.41/s ETA=365m file=worldbank.jsonl
  4125/13000 ok=4124 fail=1 rate=0.41/s ETA=363m file=worldbank.jsonl
  4150/13000 ok=4149 fail=1 rate=0.41/s ETA=362m file=worldbank.jsonl
  4175/13000 ok=4174 fail=1 rate=0.41/s ETA=361m file=worldbank.jsonl
  4200/13000 ok=4199 fail=1 rate=0.41/s ETA=360m file=worldbank.jsonl
  4225/13000 ok=4224 fail=1 rate=0.41/s ETA=359m file=worldbank.jsonl
  4250/13000 ok=4249 fail=1 rate=0.41/s ETA=359m file=worldbank.jsonl
  4275/13000 ok=4274 fail=1 rate=0.41/s ETA=358m file=worldbank.jsonl
  4300/13000 ok=4299 fail=1 rate=0.41/s ETA=357m file=worldbank.jsonl
  4325/13000 ok=4324 fail=1 rate=0.41/s ETA=356m file=worldbank.jsonl
  4350/13000 ok=4349 fail=1 rate=0.41/s ETA=355m file=worldbank.jsonl
  4375/13000 ok=4374 fail=1 rate=0.41/s ETA=354m file=worldbank.jsonl
  4400/13000 ok=4399 fail=1 rate=0.41/s ETA=353m file=worldbank.jsonl
  4425/13000 ok=4424 fail=1 rate=0.41/s ETA=352m file=worldbank.jsonl
  4450/13000 ok=4449 fail=1 rate=0.41/s ETA=351m file=worldbank.jsonl
  4475/13000 ok=4474 fail=1 rate=0.41/s ETA=350m file=worldbank.jsonl
  4500/13000 ok=4499 fail=1 rate=0.41/s ETA=349m file=worldbank.jsonl
  4525/13000 ok=4524 fail=1 rate=0.41/s ETA=348m file=worldbank.jsonl
