[5711] GEOLOGY.Landslides_data | pub=State of Utah | cols: STATELSID, the_geom, AUTHOR_S, SHAPE.STLength(), OBJECTID, LSUNIT, NOTES, SHAPE.STArea(), MOVEUNIT, MOVETYPE
[5712] Blue Ribbon Fisheries_data | pub=State of Utah | cols: COM_ID, NAME, NAME2, FTYPE, FCODE, AREA_, OBJECTID, the_geom, RCH_CODE, PERIMETER
[5713] Code Inspection Districts | pub=State of Utah | cols: Home_Occupation, Businesses, the_geom, Households, General_Contractor_Business, Id, Temporary_Permit, OBJECTID, Sub_contractor, Officer_Name
[5714] Building Footprints | pub=State of Utah | cols: HT_ISO_Flag, Usage_Type, NAME, OBJECTID, CATEGORY, HT_Eaves_Ft, HT_Assigned, Sources, Shape.len, Shape.area
[5715] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: TRAP_NUM, Ochlerotatus dorsalis, Last Amount, LAST_EDITED_USER, Culex tarsalis, Trap Type, Culiseta incidens, Last Catch Date, Trap Name, Culiseta inornata
[5716] SGID93.CADASTRE.Parcels_San Juan_data | pub=State of Utah | cols: OWN_TYPE, OBJECTID, PARCEL_ID, County Parcel Website, PARCEL_ADD, Shape_Length, the_geom, RECORDER, PARCEL_ZIP, Parcels Current As Of
[5717] Washington City_data | pub=State of Utah | cols: GEN_ZONE, SHAPE.STLength(), SHAPE.STArea(), OBJECTID, the_geom, SOURCE, ZONINGCODE, UPDATED, DESCRIPTION
[5718] RDA EDA CDA Areas_data | pub=State of Utah | cols: OBJECTID, ACREAGE, NAME, the_geom, Status, COMMENTS, SHAPE_Area, SHAPE_Length, TYPE, Cartegraph_ID
[5719] Fitting type | pub=State of Utah | cols: typecode, FACILITYID, GlobalID, the_geom, Enabled, rotation, OBJECTID
[5720] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: CITY, Coquillettidia perturbans, Ochlerotatus nigromaculis, Culiseta incidens, Aedes melanimon, CREATED_DATE, Trap Type, Anopheles freeborni, Aedes vexans, LAST_EDITED_USER
[5721] DOGM Wells_data | pub=State of Utah | cols: OriginalFieldType, UTMZone, QtrQtr, WellName, CoordsSurf_E, LeaseNumber, SideTrack, WorkType, Dir_EW, SurfaceOwner
[5722] J Boxes | pub=State of Utah | cols: GPS Date, created_user, OBJECTID, Ownership, last_edited_user, AREA, last_edited_date, PERIMETER, created_date, the_geom
[5723] .Borders | pub=State of Utah | cols: NAME, the_geom, RuleID_1, RuleID_2, Shape.len, Shape.area, OBJECTID
[5724] Lakes and Ponds_data | pub=State of Utah | cols: OBJECTID, FIRM_100, WILDFIRE, SQ_FT, Shape_Area, created_date, ADDRESS, COMMENT, MODIFIED_DATE, DATE_CREATED
[5725] Watershed | pub=State of Utah | cols: OBJECTID, the_geom, Level_1_Name, Shape.STArea(), Shape.STLength()
[5726] AIR Accounts_data | pub=State of Utah | cols: CITY, ZIP_CODE, YEAR, the_geom, NOTE, STREET_NAME, SOURCE, ACCOUNT, STREET, STREET_TYPE
[5728] Centerlines | pub=State of Utah | cols: UNIQUE_ID, LABEL, Lcitycd, Rcitycd, LZIP, STREET, COMMENTS, VECCOMMENTS, LOW, GlobalID
[5730] LiDAR2015_50cm_Rivers_DEM_Tiles_data | pub=State of Utah | cols: OBJECTID, Shape_Area, SIZE, Shape_Length, TILE, EXT, PATH, the_geom
[5731] Trust Lands Surface Ownership_data | pub=State of Utah | cols: lin, TRS_LABEL, county_name, county_abrev, acres, parcel_seq_nbr, bene_abrev, the_geom, SHAPE.STArea(), bene_cd
[5733] NAIP2009_4_Band_QQuads_data | pub=State of Utah | cols: METADATA, the_geom, OBJECTID, SHAPE_Area, SIZE, EXT, SHAPE_Length, TILE, DATE, WORLDFILE
[5734] GeoSketch_Line | pub=State of Utah | cols: Description, Time Stamp, created_user, the_geom, last_edited_user, created_date, Color, last_edited_date, OBJECTID, SHAPE.STLength()
[5735] State Roads | pub=State of Utah | cols: CFCC, the_geom, ONE_WAY, CARTO_CODE, PRE_DIR, RuleID, FUNCTIONAL_CLASS, LS_ZONE, ACS_SUFDIR, S_NAME
