[5137] Gross Ext. Debt Pmt, Central Bank, More than 0 to 3, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5138] Gross Ext. Debt Pmt, Central Bank, More than 9 to 12, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5139] Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5140] Gross Ext. Debt Pmt, Central Bank, More than 18 to 24, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5141] Gross Ext. Debt Pmt, Central Bank, More than 2yrs, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5142] Gross Ext. Debt Pmt, Central Bank, More than 3 to 6, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5143] Gross Ext. Debt Pmt, Central Bank, More than 6 to 9, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5144] Gross Ext. Debt Pmt, Central Bank, Immediate, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5145] Gross Ext. Debt Pmt, Other Sectors, More than 0 to 3, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5146] Gross Ext. Debt Pmt, Other Sectors, More than 9 to 12, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5147] Gross Ext. Debt Pmt, Other Sectors, More than 12 to 18, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5148] Gross Ext. Debt Pmt, Other Sectors, More than 18 to 24, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5149] Gross Ext. Debt Pmt, Other Sectors, More than 2yrs, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5150] Gross Ext. Debt Pmt, Other Sectors, More than 3 to 6, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
