[5940] Gross Ext. Debt Pos., Other financial corporations, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5941] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5942] Ext. Assets in Debt Instruments, Other Sectors, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5943] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5944] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5945] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5946] Net Ext. Debt Position, Other Sectors, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5947] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5948] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5949] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5950] Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5952] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Other debt liabilities, Beginning o | pub=World Bank | cols: country, date, value, indicator
