[1596] Literacy rate among adults aged >= 15 years (%) | pub=WHO | desc: Literacy rate among adults aged >= 15 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1597] Population proportion under 15 (%) | pub=WHO | desc: Population proportion under 15 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1598] Population living on <$1 (PPP int. $) a day (%) | pub=WHO | desc: Population living on <$1 (PPP int. $) a day (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1599] Population proportion over 60 (%) | pub=WHO | desc: Population proportion over 60 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1600] Gross national income per capita (PPP int. $) | pub=WHO | desc: Gross national income per capita (PPP int. $) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1602] UV radiation attributable deaths | pub=WHO | desc: UV radiation attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1605] Births by caesarean section (%) | pub=WHO | desc: Births by caesarean section (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1606] Population living in urban areas (%) | pub=WHO | desc: Population living in urban areas (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1609] Number of community health workers | pub=WHO | desc: Number of community health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1616] Estimates of number of homicides | pub=WHO | desc: Estimates of number of homicides | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1625] Population (in thousands) total | pub=WHO | desc: Population (in thousands) total | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1642] Civil registration coverage of births (%) | pub=WHO | desc: Civil registration coverage of births (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1643] Anti-tobacco mass media campaigns | pub=WHO | desc: Anti-tobacco mass media campaigns | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1644] Programmes readily available | pub=WHO | desc: Programmes readily available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1645] Prescription requirements for methadone | pub=WHO | desc: Prescription requirements for methadone | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1646] Prescription requirements for buprenorphine | pub=WHO | desc: Prescription requirements for buprenorphine | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1648] Special housing services for alcohol use disorders | pub=WHO | desc: Special housing services for alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1650] Deaths due to HIV/AIDS (per 100 000 population) | pub=WHO | desc: Deaths due to HIV/AIDS (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1652] Year of survey of youth | pub=WHO | desc: Year of survey of youth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1653] Deaths attributable to the environment | pub=WHO | desc: Deaths attributable to the environment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1657] Meningitis - number of reported cases | pub=WHO | desc: Meningitis - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
