[1967] Retreatment cases: other | pub=WHO | desc: Retreatment cases: other | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1973] Second-hand smoke attributable DALYs ('000) | pub=WHO | desc: Second-hand smoke attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1975] Stunting prevalence in children aged < 3 years (%) | pub=WHO | desc: Stunting prevalence in children aged < 3 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1976] Stunting prevalence in children aged < 5 years (%) | pub=WHO | desc: Stunting prevalence in children aged < 5 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1977] Tuberculosis treatment coverage | pub=WHO | desc: Tuberculosis treatment coverage | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1978] Previously treated cases tested for RR-/MDR-TB (%) | pub=WHO | desc: Previously treated cases tested for RR-/MDR-TB (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1981] Cases started on MDR-TB treatment | pub=WHO | desc: Cases started on MDR-TB treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1983] Tuberculosis - new and relapse cases | pub=WHO | desc: Tuberculosis - new and relapse cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1984] Number of incident tuberculosis cases | pub=WHO | desc: Number of incident tuberculosis cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1986] New cases: other | pub=WHO | desc: New cases: other | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1987] New cases: pulmonary smear unknown/not done | pub=WHO | desc: New cases: pulmonary smear unknown/not done | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
