[6606] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, One year or less, All instruments, Interest, US | pub=World Bank | cols: country, date, value, indicator
[6607] Ext. Debt Service Pmt, General Government, More than 0 to 3, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6608] Ext. Debt Service Pmt, General Government, More than 9 to 12, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6609] Ext. Debt Service Pmt, General Government, More than 12 to 18, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6610] Ext. Debt Service Pmt, General Government, More than 18 to 24, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6611] Ext. Debt Service Pmt, General Government, More than 2yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6612] Ext. Debt Service Pmt, General Government, More than 3 to 6, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6613] Ext. Debt Service Pmt, General Government, More than 6 to 9, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6614] Ext. Debt Service Pmt, General Government, Immediate, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6615] Gross Ext. Debt Pos., General Government, One year or less, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6616] Ext. Debt Service Pmt, DI: Intercom Lending, More than 0 to 3, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6617] Ext. Debt Service Pmt, DI: Intercom Lending, More than 9 to 12, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6618] Ext. Debt Service Pmt, DI: Intercom Lending, More than 12 to 18, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6619] Ext. Debt Service Pmt, DI: Intercom Lending, More than 18 to 24, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6620] Ext. Debt Service Pmt, DI: Intercom Lending, More than 2yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6621] Ext. Debt Service Pmt, DI: Intercom Lending, More than 3 to 6, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6622] Ext. Debt Service Pmt, DI: Intercom Lending, More than 6 to 9, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6623] Ext. Debt Service Pmt, DI: Intercom Lending, Immediate, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6624] Gross Ext. Debt Pos., DI: Intercom Lending, One year or less, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6625] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, Immediately, All instrume | pub=World Bank | cols: country, date, value, indicator
[6626] Ext. Debt Service Pmt, All Sectors, Immediate, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6627] Ext. Debt Service Pmt, Central Bank, More than 0 to 3, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6628] Ext. Debt Service Pmt, Central Bank, More than 9 to 12, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6629] Ext. Debt Service Pmt, Central Bank, More than 12 to 18, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6630] Ext. Debt Service Pmt, Central Bank, More than 18 to 24, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6631] Ext. Debt Service Pmt, Central Bank, More than 2yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6632] Ext. Debt Service Pmt, Central Bank, More than 3 to 6, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6633] Ext. Debt Service Pmt, Central Bank, More than 6 to 9, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6634] Ext. Debt Service Pmt, Central Bank, Immediate, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6635] Gross Ext. Debt Pos., Central Bank, One year or less, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6636] Ext. Debt Service Pmt, Other Sectors, More than 0 to 3, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6637] Ext. Debt Service Pmt, Other Sectors, More than 9 to 12, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6638] Ext. Debt Service Pmt, Other Sectors, More than 12 to 18, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6639] Ext. Debt Service Pmt, Other Sectors, More than 18 to 24, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6640] Ext. Debt Service Pmt, Other Sectors, More than 2yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6641] Ext. Debt Service Pmt, Other Sectors, More than 3 to 6, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6642] Ext. Debt Service Pmt, Other Sectors, More than 6 to 9, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6643] Ext. Debt Service Pmt, Other Sectors, Immediate, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6644] Gross Ext. Debt Pos., Other Sectors, One year or less, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6645] Gross Ext. Debt Pos., All Sectors, One year or less, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
