[6288] Curbs_AsBuilt | pub=State of Utah | cols: type, the_geom, date, SHAPE.STLength(), OBJECTID
[6289] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Comments, Ochlerotatus campestris, Culex erythrothorax, Culex pipiens, LAST_EDITED_USER, Culex tarsalis, Y Lat, Aedes melanimon, GLOBALID, Ochlerotatus increpitus
[6290] White Background | pub=State of Utah | cols: the_geom, SHAPE_Length, SHAPE_Area, OBJECTID
[6291] Dambreaks BOR Deercreek SDF_data | pub=State of Utah | cols: Shape_Length, AREA_SQMI, SHAPE_Leng, TYPE, OBJECTID, Shape_Area, NAME, the_geom
[6292] Utah Oil/Gas Wells | pub=State of Utah | cols: CONF_FLAG, SECTION, API, ELEVATION, MODIFY_DAT, FIELD_TYPE, ACCT_NUM, the_geom, COUNTY, LA_PA_DATE
[6293] VistaBallotAreas_data | pub=State of Utah | cols: VersionNbr, RcvdDate, OBJECTID, GlobalID, EffectiveDate, SHAPE_Length, Comments, the_geom, VistaID, AliasName
[6294] Distributin mains | pub=State of Utah | cols: OBJECTID, DIAMETER, the_geom, GlobalID, Enabled, WATER_ENTITY, YEAR_, SHAPE.STLength(), CONST_STATUS, FACILITYID
[6296] DAQPermitCompApproval_data | pub=State of Utah | cols: Site_Mailing_Address_3, Permit_Issued, OBJECTID, Site_State, Own_Operator_Mailing_Address_1, Own_Operator_Mailing_State, TYPE, Site_Mailing_Zip, the_geom, ID
[6297] SANDY PROJECT COORDINATION | pub=State of Utah | cols: last_edited_date, Project Name, created_date, Fiscal Year, NOTES (INTERNAL), Shape.STLength(), Contact, GlobalID, Location/Address, created_user
[6298] Water Bodies | pub=State of Utah | cols: NAME, the_geom, OBJECTID
[6299] WR Canal 100 Ft Buffer | pub=State of Utah | cols: FeatId1, BUFF_DIST, LAYER, OBJECTID, the_geom, Name, Shape_Length, Shape_Area
[6300] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Y Lat, Anopheles freeborni, Aedes melanimon, LAST_EDITED_USER, CITY, Coquillettidia perturbans, Ochlerotatus nigromaculis, Culex erythrothorax, Culex pipiens, Culex tarsalis
[6301] NAIP2011_County_data | pub=State of Utah | cols: WORLDFILE, TILE, OBJECTID, SHAPE_Area, SHAPE_Length, SIZE, EXT, the_geom, METADATA, DATE
[6302] Residence_data | pub=State of Utah | cols: the_geom, OBJECTID, TAX_ID, ABSTRACTCODE, ACCOUNT, SHAPE.STArea(), SHAPE.STLength()
[6303] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Ochlerotatus campestris, LAST_EDITED_USER, Ochlerotatus nigromaculis, Culex erythrothorax, CITY, Trap Name, OBJECTID, Aedes melanimon, CREATED_USER, Y Lat
[6304] Railroads | pub=State of Utah | cols: OBJECTID, CLASS, SHAPE.STLength(), the_geom
[6306] UAO2003_data | pub=State of Utah | cols: OBJECTID, the_geom, EXT, SHAPE_Area, DATE, PATH, SHAPE_Length, SIZE, TILE, METADATA
[6307] Sections | pub=State of Utah | cols: TOWN_RANGE, OBJECTID_12, OBJECTID_2, Shape_Leng, TARGET_FID, OBJECTID_1, Shape_Length, Section_Nu, Join_Count, AREA_NUMBE
[6308] Immediate Action Needed | pub=State of Utah | cols: ACTIONSTATUS, Action Added By, Longitude, Work Order Comments, Last Update Date, Other Action Needed, Assigned To, Last Editor, Action Type, Severity
[6309] Section Lines_data | pub=State of Utah | cols: QNUM, Search_String, OBJECTID, BASEMERIDIAN, PARTCOUNT, Shape.STLength(), TOWNSHIP, RNUM, area, GlobalID
[6310] Townships | pub=State of Utah | cols: TOWN_RANGE, Shape_Length, OBJECTID_1, AREA_NUMBE, Shape_Area, OBJECTID, the_geom, TARGET_FID, Shape_Leng
[6311] Waterways | pub=State of Utah | cols: the_geom, CLASS___TYPE, Municipality, InPark, CLASS, Shape.len, CHANNEL_TYPE, OBJECTID, NAME
[6312] Hazmat Tanks | pub=State of Utah | cols: UTMDESC, ADDRESS, EASTING, NORTHING, TankRiskAverageTest, NAME, STATE, FACILITYID, CITY, LOCZIP
[6313] Noxious Weed Infestations | pub=State of Utah | cols: Tech. Name, Notice 1 Type, Weed 3, First Name:, OBJECTID, Date:, Address:, Eval. Date, Tech. Comment, Email:
[6315] Roads - private | pub=State of Utah | cols: the_geom, Shape.STLength(), Alias, Notes, Name, OBJECTID
[6317] HBP BLM Oil and Gas Contracts_data | pub=State of Utah | cols: GlobalID, GIS Acres, BLM Sale ID, commodity, EA Link, Effective Date, CaseType, Comment, OBJECTID, Sale USO
[6318] LEA_data | pub=State of Utah | cols: LEA, SHAPE.STLength(), SHAPE.STArea(), OBJECTID, the_geom
[6319] Parking Lots | pub=State of Utah | cols: the_geom, OBJECTID, Shape.STArea(), Address, Location, Shape.STLength(), Name, AssetID, ParkingLotId, Priority
[6320] ZONING_data | pub=State of Utah | cols: the_geom, COMMENTS, ZONE_DESCRIPTION, ZONE_ID, last_edited_date, last_edited_user, created_date, created_user_2, CALCULATED_ACRES, MODIFIED_DATE
[6322] Dambreaks BOR Currant Creek_data | pub=State of Utah | cols: SHAPE_Leng, Shape_Area, AREA_SQMI, NAME, Shape_Length, OBJECTID, the_geom, TYPE
[6323] Trust Lands Mineral Ownership_data | pub=State of Utah | cols: parcel_layer_cd, quad, parcel_seq_nbr, land_status_cd, QUAD_LBL, township, merid, the_geom, GlobalID, TRS_LABEL
[6324] Capture Zone 2 (250 Day) | pub=State of Utah | cols: UHDID, Well_Name, LABEL, LAYER, the_geom, Name, SOWN, Figure_No, OBJECTID_1, Well_No
[6325] Watershed | pub=State of Utah | cols: Shape_Area, WSHED_BA_1, SYMBOL, NAME, PERIMETER, WSHED_BASI, Shape_Length, OBJECTID, the_geom
[6326] Waterways | pub=State of Utah | cols: CLASS___TYPE, InPark, CHANNEL_TYPE, CLASS, Municipality, Shape.len, OBJECTID, NAME, the_geom
[6327] CountyRoads_RRAMS~9k | pub=State of Utah | cols: Asph/Chip: Raveling Severity, Asph/Chip: Edge Crack Density, Concrete: Lane/Shoulder Separation Severity, ADT Trucks, Grav/Dirt: Sink Hole Density, Road Class, Width of Median, Surface Width, Pavement Condition Index, Asph/Chip: Pot Hole Severity
[6328] Building Footprints | pub=State of Utah | cols: NAME, OBJECTID, the_geom, Usage_Type, CopyID, Notes, HT_Eaves_Ft, Detail_Usage_Type, Ownership_Type, HT_Floors
[6329] wells | pub=State of Utah | cols: PUMP_SETTI, OUTLET_SIZE, MANUFACTUR, OWNER, WELL_DEPTH, TDH_FT, SCREEN_INT, RATING__HP, CONST_STATUS, FACILITYID
[6330] Assessor's Towers_data | pub=State of Utah | cols: Twr. Land Leasee ECA, Twr. Site Size, Bldg. Leasee, Row, Equip. Bldg. Photo, Twr. Leasee ECA, BP#, Twr. Leasee, Vicinity, the_geom
[6331] Streets_data | pub=State of Utah | cols: VERTICAL, SUF_DIR, Cartegraph_ID, OWNERSHIP, LANE_COUNT, CFCC, Rcitycd, LANE_MILES, Cartesync, ACS_STREET
[6332] NAIP2016_Band4_QQuads_data | pub=State of Utah | cols: PATH, TILE, OBJECTID, the_geom, RESOLUTION, SHAPE_Length, DATE, SHAPE_Area, WORLDFILE, SIZE
[6333] Development Predesignations_data | pub=State of Utah | cols: contract_flag, OBJECTID, county_name, Label, GlobalID, descr, app_con_abbrev, leasegis, class, classvalue
[6334] Parcels | pub=State of Utah | cols: RECORDER_DATA_AS_OF, Tax_Class3, own_apt_num, Sensitive_Overlay, Quadrant, ASSESSOR_DATA_VALID_FOR, Tax_District_2022, Tax_Class1, Garbage, Full_Mkt_Total_Land
[6335] Sensitive Overlay Zone | pub=State of Utah | cols: OBJECTID, Shape.len, Shape.area, the_geom
[6336] Immediate Action Needed | pub=State of Utah | cols: GLOBALID, Latitude, Assigned To, the_geom, Work Order ID, Action Added By, Date Added, OBJECTID, Severity, Project ID
[6337] Drainage Subbasins | pub=State of Utah | cols: DC_OvFL, last_edited_user, PER_DEPD, last_edited_date, AVG_SLOP, IMP_DEPD, Id, CONDUC, Shape.STArea(), CN_Unit
[6339] WMP Proposed PRV | pub=State of Utah | cols: Project_ID, the_geom, OBJECTID, Id
[6340] Centerbuffers | pub=State of Utah | cols: Shape.STArea(), the_geom, Shape.STLength(), OBJECTID
