[3731] No mobile phone due to family or community disapproval, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3732] No mobile phone due to family or community disapproval, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3733] No mobile phone due to family or community disapproval, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3734] No mobile phone due to family or community disapproval, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3735] No mobile phone due to family or community disapproval, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3736] No mobile phone due to family or community disapproval, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3737] No mobile phone due to family or community disapproval, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3738] No mobile phone due to family or community disapproval (% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3739] No mobile phone due to personal safety concerns  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3740] No mobile phone due to personal safety concerns, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3741] No mobile phone due to personal safety concerns, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3742] No mobile phone due to personal safety concerns, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3743] No mobile phone due to personal safety concerns, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3744] No mobile phone due to personal safety concerns, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3745] No mobile phone due to personal safety concerns, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3746] No mobile phone due to personal safety concerns, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3747] No mobile phone due to personal safety concerns, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3748] No mobile phone due to personal safety concerns, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3749] No mobile phone due to personal safety concerns, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3750] No mobile phone due to personal safety concerns, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
