[4940] CountyRoads_RRAMS~.5k | pub=State of Utah | cols: ADT Range, Asph/Chip: Alligator (Fatigue) Crack Density, Concrete: Longitudinal Joint Spalling Density, Grav/Dirt: Rutting Severity, Asph/Chip: Edge Crack Severity, Concrete: Longitudinal Joint Spalling Severity, Asph/Chip: Tranverse Crack Density, Road Structure Thickness, Asph/Chip: Depression (Birth baths) Severity, Road Class
[4941] Storm Drain Pipes | pub=State of Utah | cols: CONDITION, PIPE_TYPE, PIPE_SIZE, MaintSched, PRIORITY, Total_Score, IrrigationLine, Pipe Shape, the_geom, RuleID
[4944] Ski Resorts | pub=State of Utah | cols: the_geom, OBJECTID, NAME
[4945] live_parcel_line | pub=State of Utah | cols: Radius2, Imperial Distance, Arc Length, SHAPE_Length, CREATED_DATE, the_geom, LENGTH, OBJECTID, SERIAL, Parcel ID Number
[4946] Incorporated Cities | pub=State of Utah | cols: City Name, Local FIPS, ISVISIBLE, the_geom, CREATED_USER, Last Editor, LAST_EDITED_DATE, SHAPE_Area, EDITCOMMENTS, OBJECTID
[4947] Capture Zone 4 (15 Year) | pub=State of Utah | cols: OBJECTID, Id, the_geom
[4948] Polygons | pub=State of Utah | cols: Latitude, State, OBJECTID, Country, County, the_geom, Longitude, Weed_Common_Name, Phenology, Weed_Scientific_Name
[4949] water_bodies polygon | pub=State of Utah | cols: NAME, OBJECTID, the_geom
[4951] Roads not Plowed by Sandy | pub=State of Utah | cols: RuleID, SOURCE, EXCLUDE, ACS_STREET, S_SURF, ACS_ALIAS, FUNCTIONAL_CLASS, CARTO_CODE, fromleft, S_ROW
[4952] Pressure Zones | pub=State of Utah | cols: PRESSUREZONES_, ZONE_NAME, last_edited_date, created_date, GlobalID, ELEV_ZONE, SOURCES, last_edited_user, AREA, OBJECTID
[4953] Radio Reading Areas | pub=State of Utah | cols: FACILITYID, SHAPE.area, SHAPE.len, FEATURE_ID, TYPE, ROUTE_, PWTYPE, ACCOUNTS, the_geom, OBJECTID
[4954] Bell Canyon Users | pub=State of Utah | cols: GlobalID, created_user, last_edited_date, last_edited_user, created_date, Name, the_geom, OBJECTID, Address, Shares
[4956] CountyRoads_RRAMS~1k | pub=State of Utah | cols: AW_SEGMENTID, Surface Type, Lane Width, Concrete: Lane/Shoulder Separation Severity, Left Drainage Comments, Service Est, Active, Grav/Dirt: Severity of Mud or Slipperiness, Grav/Dirt: Dust Severity, Asph/Chip: Bleeding (Excess asphalt/binder) Density
[4957] Storm drain pipe | pub=State of Utah | cols: SHAPE.STLength(), the_geom, Notes, Asset_ID, Pipe_Material, Pipe_Size, OBJECTID, Type
[4958] CountyRoads_RRAMS~1k | pub=State of Utah | cols: Concrete: Longitudinal Joint Spalling Severity, Concrete: Corner Breaks Density, Snow Plow Area, DEACTDATE, Grav/Dirt: Excavation Failure Severity, Grav/Dirt: Excavation Failure Density, Total Res Secondary Accesses, Asph/Chip: Tranverse Crack Density, Total Commercial Car Accesses, Concrete: Longitudinal Cracking Severity
[4959] Business_License_Areas | pub=State of Utah | cols: BusLicArea, OBJECTID, the_geom, Shape_Area, Shape_Length
[4960] SWPPP Sites | pub=State of Utah | cols: UPDES Permit Expiration Date, Inspection Frequency, GlobalID, Site Contact Email, OBJECTID, Address, Owner, siteSize, Site Contact Phone, Site Contact Name
[4961] CountyRoads_RRAMS~.25k | pub=State of Utah | cols: Grav/Dirt: Upheaval Severity, Grav/Dirt: Upheaval Density, Segment Signs Value, Grav/Dirt: Washout Severity, Other Curb Type Left, Right Drainage Comments, Concrete: Corner Breaks Severity, Action Needed, Last Editor, Total Condition Index
[4964] East Jordan Canal | pub=State of Utah | cols: created_date, SIZE, the_geom, GlobalID, last_edited_user, HasAttachment, NAME, last_edited_date, Shape.len, created_user
