[3091] Building Footprints | pub=State of Utah | cols: Comments, Number of Stories, LAST_EDITED_USER, CREATED_USER, Facility Site Code, Address Range, SOURCEFEATUREID, BLDG_ID, CREATED_DATE, Address Number
[3092] Communities | pub=State of Utah | cols: Date_Updated, HOME_PHONE, Unicorp_Pop, Color, CELL_PHONE, EMERGENCY_PREPAREDNESS_LEADER2, HOME_EMAIL, Shape.area, Sandy_PPH, Updated_By
[3093] UtahLakeLU2002 | pub=Utah Division of Natural Resources | desc: Utah Lake ESRI Shapefile 2002 | cols: COUNTYNBR, the_geom, COUNTY, LABEL, IRR_TYPE, SURV_YEAR, OldDescrip, BASIN, LUID, BASIN_NAME | tags: utah lake
[3094] Building Outlines_.5K | pub=State of Utah | cols: SHAPE_Area, Year Demolished, LAST_EDITED_USER, Full Site Address, Number of Stories, Source, OBJECTID, Address Number, CREATED_USER, Address Range
[3098] Building Footprints | pub=State of Utah | cols: OBJECTID, Ownership_Type, Shape.area, RuleID_80, CopyID, HT_Eaves_Ft, NAME, HT_Floors, TYPE, Usage_Type
[3099] SGID93.POLITICAL.VistaBallotAreas_data | pub=State of Utah | cols: the_geom, GlobalID, OBJECTID, VistaID, PrecinctID, VersionNbr, Comments, CountyID, RcvdDate, Shape_Length
[3100] parcel_polygon | pub=State of Utah | cols: CREATED_USER, the_geom, CREATED_DATE, SHAPE_Area, Parcel ID Number, LAST_EDITED_USER, Book & Page, TRAVNUM, SOURCE, OBJECTID
[3101] 15 Year Capture Zone | pub=State of Utah | cols: Id, SHAPE.len, the_geom, OBJECTID, SHAPE.area
[3103] DRG24K_Collarless_data | pub=State of Utah | cols: EXT, SIZE, SHAPE_Area, PATH, SHAPE_Length, OBJECTID, the_geom, TILE
[3104] High School Boundary Labels | pub=State of Utah | cols: the_geom, Shape.len, Shape.area, OBJECTID_1, school, URL, Id, OBJECTID, Shape_Leng
[3105] live_parcel_line | pub=State of Utah | cols: CREATED_DATE, the_geom, TRAVNUM, Direction, TRAVID, LENGTH, LAST_EDITED_DATE, GLOBALID, Parcel ID Number, Radius
[3106] live_parcel_line | pub=State of Utah | cols: Parcel ID Number, Direction, LENGTH, SERIAL, GLOBALID, Radius2, OBJECTID, CREATED_USER, LAST_EDITED_DATE, CREATED_DATE
[3107] CityBlock_Line | pub=State of Utah | cols: LASTEDITOR, ISVISIBLE, CREATED_USER, SURVEY NAME, COGO Delta, Arc Length, LAST_EDITED_USER, CREATED_DATE, Radius2, COGO Side
[3108] KanabCreekVirginRiverLU2001 | pub=Utah Division of Natural Resources | cols: LUID, SURV_YEAR, COUNTYNBR, OldDescrip, DESCRIPTIO, LANDCOV, ACRES, LANDUSE, BASIN_NAME, the_geom | tags: virgin river
[3109] County - Paved | pub=State of Utah | cols: Alternate Road Type, Data Source, Right From Address, Road Type, In Water, Municipality on Left, Last Editor, Is Visible, Post Direction, LAST_EDITED_DATE
[3111] Parcels | pub=State of Utah | cols: RCNLD, the_geom, Private Road, Vesting Document, LAST_EDITED_DATE, CREATED_DATE, LOT, GLOBALID, Last Update Date, Taxes Owed Year Over Year Change
[3113] Master_Address_Points | pub=State of Utah | cols: Municipality, Parcel_Id, STREET_DIR, Address, Comment, Alias_Suffix_Dir, Complex_Name, IsRental, the_geom, Building_Units
[3115] Centerlines | pub=State of Utah | cols: S_TYPE, OBJECTID, Lcitycd, STREET, SUF_DIR, S_NAME, ONE_WAY, R_JURIS, the_geom, EXCLUDE
[3116] Grazing Permits_data | pub=State of Utah | cols: OBJECTID, classvalue, SHAPE.STLength(), leasegis, nbr, canceldt, record_status, contract_admin, begindt, Label
[3117] Furnace AirHandler | pub=State of Utah | cols: the_geom, AssetID, OBJECTID, Location
[3118] Teacher & Special Education Masters Degree Salaries Utah | pub=State of Utah | cols: WSU Teach Ed & Prof Dev, Levels, UofU Special Ed & Teaching, Uof Phoenix- Edu Admin & Supervision, USU Teach Ed & Prof Dev, Levels, Uof Phoenix- Teach Ed & Prof Dev, Levels, Uof Phoenix- Student Counseling & Personnel Svcs, Westminster- Education, USU Teach Ed & Prof Dev, Subject Area, UofU Edu Admin & Supervision, BYU Edu Admin & Supervision
[3119] live_parcel_line | pub=State of Utah | cols: CREATED_USER, Distance, Imperial Distance, Radius2, TRAVNUM, Parcel ID Number, GLOBALID, TRAVID, Arc Length, SERIAL
[3120] Signs | pub=State of Utah | cols: ACTIVE, GDB_ARCHIVE_OID, INSTALLER, SEGMENTID, SEGMENTID2, LASTUPDATE, OBJECTID, POLEID, TYPECOMMENT, LONG_
[3121] Water Rights Applications on SITLA_data | pub=State of Utah | cols: END_PROTEST, WRNUM, WRURL, DATE_FILED, OWNER, PUB_BEGAN, OBJECTID, the_geom, TYPE
[3123] UtahHouseDistricts2012 | pub=AGRC | desc: Utah House Districts2012 Shp | cols: the_geom, COLOR4, Feature ID, Shape_Leng, DIST, Shape_Area | tags: legislative districts, utah house districts 2012
[3124] Wild Scenic River | pub=State of Utah | cols: River, BOUNDARYSTATUS, CLASSIFICATION, AREAID, the_geom, Designated Name, OBJECTID
[3125] Access Points | pub=State of Utah | cols: COMMENT, Year of Application, ACTIVE, Applicant Name, Access Type, Permit Number, OBJECTID, the_geom, Permitted, GLOBALID
[3126] SGID93.CADASTRE.Parcels_Morgan_data | pub=State of Utah | cols: FIPS, PARCEL_ADD, Shape_Length, Parcel Year, County Parcel Website, Parcels Received, Shape_Area, Parcel Notes, OWN_TYPE, PARCEL_CITY
[3127] Parcel | pub=State of Utah | cols: Site State, Imp-Res1 Condition, Part Central Assessed, MY_TYPE, Greenbelt Qualified, CREATED_DATE, LAST_EDITED_USER, Imp-1 Condition Descr, Improvement Number 1, Imp-1 Use Code Descr
[3128] live_parcel_line | pub=State of Utah | desc: Lines | cols: Radius, Arc Length, GLOBALID, Radius2, Direction, OBJECTID, Distance, the_geom, SERIAL, Imperial Distance
[3129] Live_Parcels | pub=State of Utah | cols: SOURCE, GLOBALID, SHAPE_Area, LAST_EDITED_USER, TRAVNUM, SERIAL, CREATED_USER, CREATED_DATE, the_geom, UNIT
[3131] RecorderPlatExtents | pub=State of Utah | cols: SOURCEFEATUREID, DATASOURCENAME, BOOK - PAGE, TOWNSHIP, RANGE, NAME, 32NDS, ISVISIBLE, SECTION, Sheet_Number, OBJECTID
[3132] Diversion Structure | pub=State of Utah | cols: GPS Date, the_geom, ADDRESS, GlobalID, NOTES, OBJECTID, SCADA, Waterway, created_date, last_edited_user
