[6066] Centerlines - Labels - 1 | pub=State of Utah | cols: S_USE, S_TYPE, DATA_EDITOR, HIGH, S_ACCESS, S_NAME, LABEL, Lcitycd, SOURCE, S_ACCUR
[6068] Park Boundary_data | pub=State of Utah | cols: REGION, GIS_NOTES, PARKNAME, STATE, OBJECTID, METADATA, the_geom, UNIT_TYPE, UNIT_NAME, CREATED_BY
[6069] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Comments, LAST_EDITED_USER, Coquillettidia perturbans, CREATED_USER, Culex erythrothorax, Ochlerotatus increpitus, Aedes melanimon, Culiseta incidens, Aedes vexans, Last Amount
[6070] wells | pub=State of Utah | cols: TOTAL_DEPT, ELEV_BOTTOM, last_edited_user, LOCATION, NORTHING, PUMP_MANUF, PUMP_SETTI, EQUIPMENT_, RATING__HP, PUMP_MODEL
[6072] Storm SCADA | pub=State of Utah | cols: created_user, Last Inspection Date, created_date, FacilityID, MaintSched, the_geom, Northing, last_edited_user, OBJECTID, MaintRating
[6073] Sensitive Overlay Zone | pub=State of Utah | cols: Shape.area, OBJECTID, Shape.len, the_geom
[6075] Operations Paving Schedule | pub=State of Utah | cols: Shape.STLength(), Cost, the_geom, Municipal, OBJECTID, Label, Project Year, Project_Name, Project_Type
[6076] Streams | pub=State of Utah | cols: Shape.len, NAME, CLASS___TYPE, InPark, Municipality, CLASS, CHANNEL_TYPE, the_geom, OBJECTID
[6077] Waterways | pub=State of Utah | cols: the_geom, Municipality, CHANNEL_TYPE, InPark, Shape.len, NAME, CLASS___TYPE, OBJECTID, CLASS
[6078] Railroads_data | pub=State of Utah | cols: ENTITYYR, NAME, FIPS_STR, the_geom, FID_Counties, STATEPLANE, COUNTYNBR, POP_LASTCENSUS, Shape_Length, ENTITYNBR
[6079] Waterbodies_.5K | pub=State of Utah | desc: Polygon features representing waterbodies. | cols: CREATED_USER, Area in Acres, the_geom, Elevation, Reach Code, LAST_EDITED_DATE, GLOBALID, Waterbody Type, CREATED_DATE, SHAPE_Length
[6080] Boosters | pub=State of Utah | cols: the_geom, NORTHING, OBJECTID, EASTING, CONST_STATUS, HEAD__FEET, NAME, ZONES, Enabled, H_POWER
[6081] Traffic Studies | pub=State of Utah | cols: Report Type, OBJECTID, the_geom, URL, LOCATION, DATE_, ADDRESS, ZIPCODE, COMPANY
[6082] Parks | pub=State of Utah | cols: Restrooms, Softball_Diamonds, StatusCmnt, Tennis_Courts, Park_Acres, Municipality, Baseball_Lighting, Park_ID, ParkType, Restricts
[6083] Restroom | pub=State of Utah | cols: Location, OBJECTID, Heated, NumSinks, NumStalls, AssetID, NumUrinals, the_geom, Address
[6084] Greens | pub=State of Utah | cols: Shape_STArea__, Area_Type, Shape.STLength(), Shape_STLength__, Address, Description, OBJECTID, AssetID, Shape.STArea(), Location
[6086] Google Fiber Vault | pub=State of Utah | cols: vaultsize, globalid, lidtype, rating, FID, structuref, the_geom, primaryuse
[6088] Wells | pub=State of Utah | cols: EASTING, SITE_NAME, FID, CASING, ZONES, NUMBER_PUMPS, DATE_INSTALLED, TDH_FT, TOTAL_DEPT, CONST_STATUS
[6089] Short List Locations | pub=State of Utah | cols: InspectionNeeded, Short List Asphaltic Concrete (SF), DriveApproaches, PScond, Short List Finish Date, Short List Remove Stumps, Short List Root Cuts, GrindingUpdate, Contractor_Status, Contractor
[6091] CountyRoads_RRAMS~18k | pub=State of Utah | cols: Lane Width Condition, Asph/Chip: Longitudinal (Seam) Cracking Severity, Safety Features Condition, Resurface Date, Avg SCI for Project ID, Safety Condition Index, Grav/Dirt: Depression (Birth baths/Ponding) Density, Avg PCI for Project ID, Bus Route, ADT Date
[6092] CountyRoads_RRAMS~18k | pub=State of Utah | cols: Danger Zone Condition, Left Curb Type, Total Condition Index, Asph/Chip: Corrugation Density, Grav/Dirt: Dust Severity, Total Ag Field Accesses, Service Est, Total Commercial Truck Accesses, Total Commercial Car Accesses, Access Point Condition
[6093] waterservicearea | pub=State of Utah | cols: ACRES, AGENCY, OBJECTID, Shape.STLength(), the_geom, Shape.STArea(), GlobalID
[6095] Salt Lake City Zoning | pub=State of Utah | desc: Zoning Districts for Salt Lake City | cols: OBJECTID, Shape_Length, Shape_Area, the_geom, ZONING
[6096] School Property | pub=State of Utah | cols: Category, City, School ID, Footprint Area (sq. ft.), Footprint Perimeter (ft.), Name, OBJECTID, the_geom, Address
[6097] Manholes | pub=State of Utah | cols: created_user, INVERT4, ELEVATION, PIPE_SIZE, PIPE_TYPE, PRIORITY, INVERT2, last_edited_date, Floor/Bench Condition, Terrain_ELEVATION
[6098] Cemetery.PARKS.Cem_Lots | pub=State of Utah | cols: Shape.area, Shape.len, Section, Section_Lot, OBJECTID, the_geom
[6099] County - Unpaved | pub=State of Utah | cols: Above or Below Grade, Surface, County Name, CREATED_USER, State Route, Municipality on Right, Road Name, ROW Width, Alt Road Type2, Maintained By
[6100] Inspector Projects by Warranty Date | pub=State of Utah | cols: Notes, Address / Location, Score, Warranty Date, Complexity, created_user, last_edited_date, Engineer, Inspector, Project Name
[6101] Plat Hook~1K | pub=State of Utah | cols: LAST_EDITED_USER, CREATED_DATE, OBJECTID, CREATED_USER, SCALE, GLOBALID, the_geom, ANGLE, LAST_EDITED_DATE
[6102] waterservicearea | pub=State of Utah | cols: Shape.STLength(), AGENCY, the_geom, GlobalID, ACRES, OBJECTID, Shape.STArea()
[6103] Historical.POINTS.Historic_Sandy_Walking_Tour_Sites | pub=State of Utah | cols: Icon_color, Address, OBJECTID, Bus_Tour_Seq, Walking_Tour_Seq, SiteID, Description, URL, Name, the_geom
[6104] Reservoir | pub=State of Utah | cols: OBJECTID, Location, Shape_Area, Owner, the_geom, Debris Rack, Shape_Length, Watershed, Waterway, Watershed ID
[6105] CityLot_Polygon | pub=State of Utah | cols: BOOK, LAST_EDITED_USER, the_geom, EDITCOMMENTS, GLOBALID, LOT, CITY NAME, LASTUPDATE, BLOCK SERIAL, PLAT
[6106] School Labels | pub=State of Utah | cols: TELEPHONE, SCHOOL_TYP, Longitude, ADDRESS, OBJECTID, the_geom, Latitude, URL, HAS_FOOTPRINT, SCHOOL
[6107] Backflow Preventers | pub=State of Utah | cols: OwnerOfAssembly, Status, Size, City, Facility Name, Location, Manufacturer, GlobalID, last_edited_date, last_edited_user
[6108] Parks | pub=State of Utah | cols: SEARCH, Climbing_Wall, Executive_18_Hole_Course, Bike_Track, Regulation_18_Hole_Course, Walking_Track, Batting_Cages, Pickle_Ball, HTML, Birthday_Party_Rooms
