[5718] Net Ext. Debt Position, General Government, Long-term, Other debt instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5719] Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5720] Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5721] Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5722] Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[5723] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[5724] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5725] Ext. Assets in Debt Instruments, Central Bank, Long-term, Other debt instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5726] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5727] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5728] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5729] Net Ext. Debt Position, Central Bank, Long-term, Other debt instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5730] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5731] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5732] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5733] Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[5734] Gross Ext. Debt Pos., Nonfinancial corporations, Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[5735] Gross Ext. Debt Pos., Other financial corporations, Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
