[6248] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, All maturities, Arrears, Prin. and In | pub=World Bank | cols: country, date, value, indicator
[6249] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, All maturities, Debt securities, Memo | pub=World Bank | cols: country, date, value, indicator
[6250] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, All maturities, Arrears, Interest, US | pub=World Bank | cols: country, date, value, indicator
[6251] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, All maturities, Arrears, Principal, U | pub=World Bank | cols: country, date, value, indicator
[6254] Gross Ext. Debt Pos., Public Sector Ext. Debt, All maturities, Arrears, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[6255] Gross Ext. Debt Pos., Public Sector Ext. Debt, All maturities, Debt securities, Memo item, USD | pub=World Bank | cols: country, date, value, indicator
[6256] Gross Ext. Debt Pos., Public Sector Ext. Debt, All maturities, Arrears, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6257] Gross Ext. Debt Pos., Public Sector Ext. Debt, All maturities, Arrears, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[6258] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Long-term, Other debt liabilities, US | pub=World Bank | cols: country, date, value, indicator
[6259] Gross Ext. Debt Pos., Public Sector Ext. Debt, Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[6260] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Short-term, Other debt liabilities, U | pub=World Bank | cols: country, date, value, indicator
[6261] Gross Ext. Debt Pos., Public Sector Ext. Debt, Short-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[6262] CB, bonds (DOD, current US$) | pub=World Bank | desc: Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally th | cols: country, date, value, indicator
[6274] Public and Publicly Guar. Private Sector Ext. Debt Pos., Paris Club member creditors, All maturities | pub=World Bank | cols: country, date, value, indicator
[6275] Publicly Guar. Private Sector Ext. Debt Pos., Paris Club member creditors, Long-term, All instrument | pub=World Bank | cols: country, date, value, indicator
[6276] Publicly Guar. Private Sector Ext. Debt Pos., Paris Club member creditors, Short-term, All instrumen | pub=World Bank | cols: country, date, value, indicator
[6277] Publicly Guar. Private Sector Ext. Debt Pos., Paris Club member creditors, All maturities, All instr | pub=World Bank | cols: country, date, value, indicator
[6278] Public Sector Ext. Debt Pos., Paris Club member creditors, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6279] Public Sector Ext. Debt Pos., Paris Club member creditors, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6280] Public Sector Ext. Debt Pos., Paris Club member creditors, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6284] Publicly Guar. Private Sector Ext. Debt Pos., All maturities, Debt liab. of dir. investors to DI ent | pub=World Bank | cols: country, date, value, indicator
[6285] Publicly Guar. Private Sector Ext. Debt Pos., Deposit-Taking Corp., exc. CB, creditors, Long-term, A | pub=World Bank | cols: country, date, value, indicator
[6286] Publicly Guar. Private Sector Ext. Debt Pos., Deposit-Taking Corp., exc. CB, creditors, Short-term,  | pub=World Bank | cols: country, date, value, indicator
[6287] Publicly Guar. Private Sector Ext. Debt Pos., Deposit-Taking Corp., exc. CB, creditors, All maturiti | pub=World Bank | cols: country, date, value, indicator
[6288] Publicly Guar. Private Sector Ext. Debt Pos., Official bilateral creditors, Long-term, All instrumen | pub=World Bank | cols: country, date, value, indicator
[6289] Publicly Guar. Private Sector Ext. Debt Pos., Official bilateral creditors, Short-term, All instrume | pub=World Bank | cols: country, date, value, indicator
[6290] Publicly Guar. Private Sector Ext. Debt Pos., Official bilateral creditors, All maturities, All inst | pub=World Bank | cols: country, date, value, indicator
[6291] Publicly Guar. Private Sector Ext. Debt Pos., Long-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6292] Publicly Guar. Private Sector Ext. Debt Pos., Long-term, Currency and deposits , USD | pub=World Bank | cols: country, date, value, indicator
[6293] Publicly Guar. Private Sector Ext. Debt Pos., Short-term, Currency and deposits , USD | pub=World Bank | cols: country, date, value, indicator
