[17813] Beneficiary incidence in all income groups (%) - All Labor Market Pograms -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17814] Beneficiary incidence in all income groups (%) - All Labor Market Pograms -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17816] Beneficiary incidence in 1st quintile(poorest)(%)-All Labor Market Programs(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17817] Beneficiary incidence in 1st quintile (poorest) (%)-All Labor Market Programs (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17820] Beneficiary incidence in 1st quintile (poorest) (%) - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17821] Beneficiary incidence in 1st quintile (poorest) (%) - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17824] Beneficiary incidence in 2nd quintile (%) - All Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17825] Beneficiary incidence in 2nd quintile (%) - All Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17828] Beneficiary incidence in 2nd quintile (%) - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17829] Beneficiary incidence in 2nd quintile (%) - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17832] Beneficiary incidence in 3rd quintile (%) - All Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17833] Beneficiary incidence in 3rd quintile (%) - All Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17836] Beneficiary incidence in 3rd quintile (%) - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17837] Beneficiary incidence in 3rd quintile (%) - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17840] Beneficiary incidence in 4th quintile (%) - All Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17841] Beneficiary incidence in 4th quintile (%) - All Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17844] Beneficiary incidence in 4th quintile (%) - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17845] Beneficiary incidence in 4th quintile (%) - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17848] Beneficiary incidence in 5th quintile(richest)(%)-All Labor Market Programs(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17849] Beneficiary incidence in 5th quintile (richest) (%)-All Labor Market Programs (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17852] Beneficiary incidence in 5th quintile (richest) (%) - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17853] Beneficiary incidence in 5th quintile (richest) (%) - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
