[17078] World Bank: Share of total Private/Household spending on secondary education for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[17079] World Bank: Share of total Private/Household spending on tertiary education for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[17080] World Bank: Private/Household spending on education, Quintile 4 | pub=World Bank | cols: country, date, value, indicator
[17081] World Bank: Share of total Private/Household spending on primary education for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[17082] World Bank: Share of total Private/Household spending on secondary education for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[17083] World Bank: Share of total Private/Household spending on tertiary education for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[17084] World Bank: Private/Household spending on education, Quintile 5 | pub=World Bank | cols: country, date, value, indicator
[17085] World Bank: Share of total Private/Household spending on primary education for Quintile 5 (%) | pub=World Bank | cols: country, date, value, indicator
[17086] World Bank: Share of total Private/Household spending on secondary education for Quintile 5 (%) | pub=World Bank | cols: country, date, value, indicator
[17087] World Bank: Share of total Private/Household spending on tertiary education for Quintile 5 (%) | pub=World Bank | cols: country, date, value, indicator
[17088] World Bank: Share of total Private/Household spending on primary education for richest 20% of studen | pub=World Bank | cols: country, date, value, indicator
[17089] World Bank: Share of total Private/Household spending on secondary education for richest 20% of stud | pub=World Bank | cols: country, date, value, indicator
[17090] World Bank: Share of total Private/Household spending on tertiary education for richest 20% of stude | pub=World Bank | cols: country, date, value, indicator
[17091] World Bank: Private/Household spending on education, richest 40% of students | pub=World Bank | cols: country, date, value, indicator
