[3915] Rough | pub=State of Utah | cols: the_geom, Shape.STLength(), Description, Area_Type, Shape_STArea__, OBJECTID, AssetID, Location, Address, Shape.STArea()
[3916] Storm Drain Pipes | pub=State of Utah | cols: Crit_Size, Total_Score, MaintRating, Pipe Condition, FacilityID, IRRIGATION, CRITICALITY, link, Cond_Inspection, Crit_Loc
[3917] SD Detention Basin AsBuilt | pub=State of Utah | cols: notes, the_geom, use, date, cap, SHAPE.STLength(), SHAPE.STArea(), OBJECTID, pweng.SLCOEN.sd_detentionbasin_AsBuilt.area
[3918] Secondary Recharge Zone | pub=State of Utah | cols: OBJECTID, SHAPE.len, the_geom, SHAPE.area, PERIMETER
[3919] County - Paved | pub=State of Utah | cols: Alt Road Name2, One Way Indicator, Right To Address
, Last Update Date, Full Road Name, UC Project ID, Road Name, FEA Route Number
, SHAPE_Length, Municipality on Right
[3920] Inspection Needed | pub=State of Utah | cols: District, ARROW, MUTCD_Desc, RETIRED, REMARKS, InspectionNeeded, SPEED_LIMIT, FACE_POSIT, PMA_ID, LastInspFY
[3921] Parks - Managed by Sandy City | pub=State of Utah | cols: Baseball_Lighting, OwnerType, RefComment, AcreSource, Tennis_Lighting, Notes, Unit, ParkType, EditDate, Jogging_Path_Miles
[3924] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: TRAP_NUM, LOCATION, GLOBALID, Ochlerotatus campestris, CREATED_USER, the_geom, Comments, Y Lat, Culex pipiens, LAST_EDITED_DATE
[3925] Borders | pub=State of Utah | cols: Label, Shape.len, Shape.area, OBJECTID, City, Sq_Miles, the_geom
[3926] Median Income - 2010 Census | pub=State of Utah | cols: INTPTLON10, Shape_Length, FUNCSTAT10, OBJECTID, TRACTCE10, INTPTLAT10, ALAND10, GEOID10, GEODID_NEW, Total_Med
[3927] Corrections Jail Bed Performance Measure | pub=State of Utah | cols: pm_entryFY, % Dental Requests closed in 7 days, % available jail beds contracting higher state rate for programming., AP&P: % probationers_parolees ending supervision who earned early termination, % Health Care Request Timeliness Closed 3 days
[3928] Licensed Practical Nurse & Nursing Assistants One Year Technical Colleges | pub=State of Utah | cols: Bridgerland Tech- Licensed Practical Nurse, Nursing Assistants, WAGES, Mountainland Tech- Licensed Practical Nurse, Nursing Assistants, Davis Tech- Licensed Practical Nurse, Nursing Assistants, Ogden/Weber Tech- Licensed Practical Nurse, Nursing Assistants, Southeastern Tech- Licensed Practical Nurse, Nursing Assistants
[3930] Short List Locations | pub=State of Utah | cols: Parkstrip, Short List Phone, XDA, District, OBJECTID, Trees, DriveApproaches, LastInspectionBy, Short List ADA Ramp (SF), CG
[3931] Centerlines | pub=State of Utah | cols: EXCLUDE, MAINTENANCE, fromright, Shape.STLength(), LS_ZONE, toright, LZIP, FS_ZONE, EDITOR, S_ACCESS
[3932] Associate Degree Salaries Healthcare Related Utah | pub=State of Utah | cols: SLCC Health/Allied Health/Health Sciences, WSU- Allied Health Diag, Intervention, SLCC Dental Support, Utah Tech- Allied Health Diag, Intervention, Provo College- Allied Health & Med Assist, SLCC- Allied Health Diag, Intervention, WAGES, WSU Dental Support, WSU Health/Allied Health/Health Sciences, Broadview- Allied Health & Med Assist
[3933] WestDesertColumbiaLU1989 | pub=Utah Division of Wildlife Resources | desc: West Desert Columbia ESRI Shapefile 1989 | cols: BASIN_NAME, the_geom, BASIN, LUID, SURV_YEAR, OldDescrip, ACRES, COUNTYNBR, DESCRIPTIO, COUNTY | tags: west desert
[3935] Parcels | pub=State of Utah | cols: Improvement Code, Total Previous Taxes Owed, Taxes Owed Year Over Year Change, LOT, CREATED_USER, Residential Year Built, Greenbelt Qualified, Owner Full Address, Agricultural Improvement Market Value, Vesting Document
[3936] Retrofitted Infrastructure | pub=State of Utah | cols: Water Quality Elements, last_edited_date, OBJECTID, last_edited_user, GlobalID, FacilityID, created_user, created_date, Date, Project
[3937] Deed points | pub=State of Utah | cols: Book & Page, the_geom, Parcel Identification Number, ANGLE, CREATED_DATE, OBJECTID, LAST_EDITED_DATE, GLOBALID, TYPE, LAST_EDITED_USER
[3938] Snow Removal Areas | pub=State of Utah | cols: Address, Location, Road_Miles, ROTATION, the_geom, OBJECTID, LS_Rotation, Shape.STArea(), SNOW_ID, Shape.STLength()
[3939] Roads not Plowed by Sandy | pub=State of Utah | cols: S_TYPE, S_ACCUR, S_USE, UNIQUE_ID, S_ACCESS, CFCC, FS_ZONE, HIGH, RuleID, EDITOR
[3940] DWS Construction & Housing Performance Measures | pub=State of Utah | cols: pm_entryFY, Construction Jobs Preserved/Created Olene Walker Housing Fund, # of weatherization assistance program individuals trained., Housing Units Preserved/Created Olene Walker Housing Fund, # Unique Low Income Households Assisted by Installing Permanent Energy Conservation Measures, Monthly Ave Gen Assistance Customers Served
[3941] CountyRoads_RRAMS~.5k | pub=State of Utah | cols: Asph/Chip: Pot Hole Severity, Concrete: Blowups Density, Total Segment Value, Full Road Name, POB, Resurface Date, Speed Limit, Number of Lanes, Left Shoulder Width, Concrete: Corner Breaks Severity
[3943] Outfalls | pub=State of Utah | cols: GPS Date, created_date, Receiving_Waters, Last Inspection Date, Type, Location, Structural Condition Rating, last_edited_date, created_user, last_edited_user
[3946] Fire hydrants | pub=State of Utah | cols: THIRTYPSIFLOW, FACILITYID, AssetStatus, PROVIDER, the_geom, APADDRESS, STATICPRESSURE, LANDTIES, HYDSIZE, COMMENTS
[3948] 250 ft. Contours_data | pub=State of Utah | cols: ELEV_050, ELEV_010, ELEV_250, ELEV_040, the_geom, ELEV_100, ELEV_200, ELEV_020, ELEV_500, ELEV_BASE
[3949] State Auditors Office Performance Management Outcome Measures | pub=State of Utah | cols: agency_abbrev_name, agencyid, pm_entryid, Unnamed Column, Actual Entry Count, agencyname, pm_id, pm_reportdate, organizationalunitid, pm_entryvalue
[3950] Centerlines | pub=State of Utah | cols: DATA_EDITOR, Lcitycd, OBJECTID, EDITOR, DATA_DATE, toleft, LZIP, COMMENTS, S_SURF, Shape.STLength()
[3952] Sections_polygon | pub=State of Utah | cols: TOWNSHIP QUARTER/QUARTER, SECTION NAME, TOWNSHIP, LASTUPDATE, RANGE, LAST_EDITED_DATE, Section Identifier, Section Label, CREATED_DATE, LAST_EDITED_USER
[3954] Building | pub=State of Utah | cols: OBJECTID, Ownership, Address, Shape.STLength(), Location, Type, Shape.STArea(), BuildingId, the_geom, AssetID
[3955] Concrete Locations | pub=State of Utah | cols: the_geom, OBJECTID, AssetID, Short List Waterway / Frog (SF), SWCond, CG, Short List Root Cuts, Frogs, Sidewalk, Short List Durration (Days)
[3957] Mosquito Customer ID | pub=State of Utah | cols: POINT_X, GLOBALID, COMMENTS, Email, Street Name, CREATED_USER, X Long, Active Service Request, the_geom, OBJECTID
[3959] Code Inspection Districts | pub=State of Utah | cols: the_geom, Businesses, Households, Officer_Name, OBJECTID, Commercial_Business, Sub_contractor, Home_Occupation, General_Contractor_Business, Temporary_Permit
[3960] Pump Station | pub=State of Utah | cols: Enabled, FLOW__GPM_, ZONES, AncillaryRole, GPS_DATE, OBJECTID, created_date, PWTYPE, PUMPS, NAME
