[14328] Literacy rate (% of persons with any degree of selfcare difficulty) | pub=World Bank | cols: country, date, value, indicator
[14329] Literacy rate (% of persons living in urban areas with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14330] Literacy rate (% of persons aged 15 to 29 years with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14331] Literacy rate (% of persons aged 30 to 44 years with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14332] Literacy rate (% of persons aged 45 to 64 years with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14333] Literacy rate (% of persons aged 65 or older with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14334] Literacy rate (% of persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14335] Literacy rate (% of female persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14336] Literacy rate (% of male persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14337] Literacy rate (% of persons living in rural areas with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14338] Literacy rate (% of persons living in urban areas with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14339] Literacy rate (% of persons aged 15 to 29 years with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14340] Literacy rate (% of persons aged 30 to 44 years with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14341] Literacy rate (% of persons aged 45 to 64 years with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14342] Literacy rate (% of persons aged 65 or older with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14343] Literacy rate (% of persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14344] Literacy rate (% of female persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14345] Literacy rate (% of male persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14346] Literacy rate (% of persons living in rural areas with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14347] Literacy rate (% of persons living in urban areas with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14348] Literacy rate (% of persons aged 15 to 29 years with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14349] Literacy rate (% of persons aged 30 to 44 years with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
