[8148] ESQUEMA DE PUBLICACION DE INFORMACION | pub=NOTARIA OCHENTA BOGOTA | cols: Idioma, Formato, Nombre o título de la información, Nombre del responsable de la información, Fecha de Generación  de la Información, Frecuencia  de actualización, Nombre del responsable de la producción de la información, Medio de conservación, Lugar de consulta | tags: notaria, gestión documental
[8169] Registro de Activos de Información_2 | pub=Colombia Open Data | desc: Registro de Activos de Información_2 | cols: Lugar donde se encuentra disponible, Nombre o título de la categoría de Información, Descripción del contenido la categoría de información, Medio de conservación y/o soporte, Subcategorías, Información Publicada, Información disponible, Idioma, Formato
[8197] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA UNICA ANORI | cols: Nombre del responsable de la información, Fundamento jurídico de la excepción, Formato, Fundamento constitucional o legal, Objetivo legítimo de la excepción, Excepción total o parcial, Idioma, Nombre o título  de la categoría de información, Nombre o título de la información, Plazo de clasificación o reserva | tags: notaria, gestión documental
[8201] Esquema de publicación de información | pub=Notaria Séptima del Círculo de Cúcuta | cols: Fecha de Generación  de la Información, Frecuencia  de actualización, Idioma, Nombre del responsable de la producción de la información, Nombre del responsable de la información, Medio de conservación, Nombre o título de la información, Formato, Lugar de consulta | tags: notaria, esquema de publicación, gestion documental
[8216] ACTIVOS DE LA INFORMACION | pub=NOTARIA UNICA ZAPATOCA | cols: Descripción del contenido la categoría de información, Información Publicada, Idioma, Lugar donde se encuentra disponible, Nombre o título de la categoría de Información, Información Disponible, Formato, Medio de conservación y/o soporte | tags: notaria, gestión documental
[8231] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA UNICA PLAYON | cols: Fecha de generación de la información, Idioma, Fecha de la calificación, Formato, Excepción total o parcial, Plazo de clasificación o reserva, Fundamento constitucional o legal, Fundamento jurídico de la excepción, Objetivo legítimo de la excepción, Nombre o título de la información | tags: notaria, gestión documental
[8239] Esquema de Publicación de Información | pub=Notaria Unica Briceño | desc: de 2015, art. 41) | cols: Fecha de Generación  de la Información, Medio de conservación, Nombre o título de la información, Nombre del responsable de la información, Formato, Frecuencia  de actualización, Lugar de consulta, Nombre del responsable de la producción de la información, Idioma | tags: gestión documental, notaria
[8245] ACTIVOS DE LA INFORMACION | pub=NOTARIA UNICA ANORI | cols: Medio de conservación y/o soporte, Información Publicada, Lugar donde se encuentra disponible, Formato, Nombre o título de la categoría de Información, Descripción del contenido la categoría de información, Idioma, Información Disponible | tags: notaria, gestión documental
[8278] ESQUEMA DE PUBLICACION DE INFORMACION | pub=NOTARIA SEGUNDA DE MALAGA | cols: Lugar de consulta, Idioma, Fecha de Generación  de la Información, Nombre del responsable de la información, Nombre o título de la información, Nombre del responsable de la producción de la información, Frecuencia  de actualización, Medio de conservación, Formato | tags: gestión documental, notaria
[8352] ESQUEMA DE PUBLICACION DE INFORMACION | pub=NOTARIA UNICA ANAPOIMA | cols: Formato, Medio de conservación, Nombre del responsable de la producción de la información, Nombre del responsable de la información, Frecuencia  de actualización, Lugar de consulta, Fecha de Generación  de la Información, Idioma, Nombre o título de la información | tags: notaria, gestión documental
[8357] ESQUEMA DE PUBLICACION DE INFORMACION | pub=NOTARIA 38 DE BOGOTA | cols: Nombre o título de la información, Nombre del responsable de la información, Nombre del responsable de la producción de la información, Frecuencia  de actualización, Formato, Idioma, Lugar de consulta, Fecha de Generación  de la Información, Medio de conservación | tags: notaria, gestión documental
