[5448] DEM10_Quads_data | pub=State of Utah | cols: DATE, PATH, OBJECTID, METADATA, the_geom, SIZE, SHAPE_Length, TILE, SHAPE_Area, WORLDFILE
[5449] Parcels < 4000_data | pub=State of Utah | cols: PreDir, exempt_type, source_doc, tax_class2, parcel_acres, zip_two, StreetName, adjusted_total_land, total_full_mkt, tax_class3
[5450] Unique_Street_Names | pub=State of Utah | cols: STREET, the_geom, SHAPE.STLength(), OBJECTID
[5451] Bridges_data | pub=State of Utah | cols: LENGTH, LANES, FEATINT, LAT_DD, ROUTENUM, STRUCTNAME, ROAD_NA, DESIGNLOAD, DECKWIDTH, STUT_NUM
[5452] Google Fiber Path | pub=State of Utah | cols: globalid, Shape.STLength(), Shape_Leng, surfacetyp, FID, sealanttyp, Name, the_geom, placement, installmet
[5453] Alta Canyon Sports Center | pub=State of Utah | cols: CATEGORY, Address, HAS_FOOTPRINT, Latitude, Longitude, NAME, the_geom, TYPE, OBJECTID
[5455] UT_shaleplays | pub=State of Utah | cols: Shape__Length, Lithology, Shale_play, the_geom, Basin, Shape__Area, Age_shale, Area_sq_km, Shape_Leng, Area_sq_mi
[5456] Congress | pub=State of Utah | cols: OBJECTID, DISTRICT, the_geom, Shape_Length, Shape_Area
[5457] Transformers | pub=State of Utah | cols: created_user, PERIMETER, last_edited_user, last_edited_date, the_geom, AREA, created_date, OBJECTID
[5458] Crosswalk AsBuilt | pub=State of Utah | cols: OBJECTID, SHAPE.STLength(), the_geom, date, type
[5459] Sandy Priority Roads | pub=State of Utah | cols: the_geom, OBJECTID, Shape.len
[5460] Current Parcels_data | pub=State of Utah | cols: abv_grnd_sf, PreDir, own_citystate, own_addr, parcel_acres, multi_names, tax_dist, care_of, new_growth_value, own_zip
[5462] Site Plan Review | pub=State of Utah | cols: the_geom, OBJECTID, PROJECT_NAME, SPR_FILE, SITE_ADDRESS, FLAG_IND, Status, DateApproved, Shape.STArea(), Shape.STLength()
[5463] Borders | pub=State of Utah | cols: Label, OBJECTID, Sq_Miles, City, Shape.len, Shape.area, the_geom
[5464] Active BLM Oil and Gas Contracts_data | pub=State of Utah | cols: GIS Acres, Effective Date, Expiration Date, GlobalID, EA Link, Sale USO, EA Number, Case Acres, LR2000 Serial Number, Parcel USO
[5466] DEM30_Statewide_data | pub=State of Utah | cols: OBJECTID, SHAPE_Length, SIZE, TILE, DATE, METADATA, EXT, PATH, WORLDFILE, the_geom
[5468] Fence Wall | pub=State of Utah | cols: MaterialSize, SHAPE.STLength(), the_geom, Address, AssetID, Purpose, Height, Style, OBJECTID, Comment
[5470] Lots and 1/16th lines_data | pub=State of Utah | cols: the_geom, OBJECTID, GlobalID, Shape.STLength()
[5471] Priority Facilities | pub=State of Utah | cols: created_user, last_edited_user, GlobalID, Email, the_geom, Address, OBJECTID, last_edited_date, created_date, Name
[5473] Earthquake Ground Shaking MMI - Malad_data | pub=State of Utah | cols: SHAPE_Area, SHAPE_Length, the_geom, OBJECTID, GRID_CODE
