[16675] World Bank: Per student transfer by central to subnational government, junior secondary education (U | pub=World Bank | cols: country, date, value, indicator
[16676] World Bank: Share of junior secondary recurrent expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[16677] World Bank: Share of total recurrent education expenditure for administration (%) | pub=World Bank | cols: country, date, value, indicator
[16678] World Bank: Share of total salary expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[16679] World Bank: Share of total education expenditure for administration (%) | pub=World Bank | cols: country, date, value, indicator
[16680] World Bank: School Feeding Programs (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[16681] World Bank: School Feeding Programs (% of total recurrent expenditures) | pub=World Bank | cols: country, date, value, indicator
[16682] World Bank: School Feeding Programs (% of total education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16683] World Bank: Total expenditures on School Feeding Programs (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16684] World Bank: Share of recurrent junior secondary expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16685] World Bank: Total Student Loans (USD or local currency). Tertiary | pub=World Bank | cols: country, date, value, indicator
[16686] World Bank: Share of recurrent primary education expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16687] World Bank: Share of recurrent expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16688] World Bank: Share of recurrent secondary expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16689] World Bank: Share of recurrent senior secondary expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16690] World Bank: Share of recurrent tertiary expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16691] World Bank: Share of total tertiary expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
