[5276] Garbage | pub=State of Utah | cols: the_geom, Shape.len, DAY_NAME, WEEKDAY, Shape.area, OBJECTID
[5278] Open Work Orders | pub=State of Utah | cols: GLOBALID, Assigned To, Work Order Comments, OBJECTID, Date Added, the_geom, Last Update Date, Project ID, Action Type, Severity
[5285] Current Fires_data | pub=State of Utah | cols: mapsymbol, acres, complexparentirwinid, status, incidenttypecategory, OBJECTID, owneragency, fireyear, longitude, state
[5286] SANDY_2M_BARE_4_Extent - 576 Used to Mask | pub=State of Utah | cols: OBJECTID, Id, Shape.len, the_geom, Shape.area, grid_code
[5287] White Background_72K | pub=State of Utah | cols: OBJECTID, the_geom, SHAPE_Length, SHAPE_Area
[5288] Valve not found | pub=State of Utah | cols: Valve id number, GlobalID, the_geom, OBJECTID, Enabled
[5290] Wildreness/Primitive Boundaries_data | pub=State of Utah | cols: ut_lgd, STATE OF UTAH LEGEND, LABEL_FEDERAL, admin, owner, natl_lgd, LABEL_STATE, SHAPE_Length, desig, EDIT_DATE
[5291] Mosq_Spots | pub=State of Utah | cols: Watch, created_date, Spot ID, AREA_CHECKED, Last Water Depth, Ochlerotatus increpitus, last_edited_user, SHAPE.AREA, Chemical Amt in lbs, Last Sample ID
[5292] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Culiseta inornata, Anopheles freeborni, Culex tarsalis, Comments, Trap Name, TRAP_NUM, Culex erythrothorax, CREATED_USER, the_geom, CREATED_DATE
[5295] Striping_AsBuilt | pub=State of Utah | cols: type_s, date, SHAPE.STLength(), date_2, the_geom, width, OBJECTID
[5296] Dam Break Inundation Area_data | pub=State of Utah | cols: the_geom, OBJECTID, ID, NAME, TYPE, DAMNUMBER, SHAPE.STLength(), AREADESC, NOTES, SHAPE.STArea()
[5297] Borders | pub=State of Utah | cols: OBJECTID, RuleID_2, the_geom, NAME
[5299] Fire Stations | pub=State of Utah | cols: Shape.len, Notes, HT_ISO_Flag, HT_Eaves_Ft, OBJECTID, Sources, TYPE, Usage_Type, CATEGORY, RuleID_50
[5300] Provo Zoning | pub=State of Utah | cols: ZONECLASS, PROVO ZONE DESCRIPTION, ZONE GENERALIZED, GLOBALID, DOCUMENT DATE, LASTUPDATE, EDITCOMMENTS, SHAPE_Area, DOCUMENT ENTRY#, PROVO ZONE LABEL
[5301] Subdivision | pub=State of Utah | cols: OBJECTID, Rectified, Easements_Digitized, SLCO_Book_Page, SLCO_Rec_Numb, the_geom, File_, Subdivision_Plat, Sub_Phase, Georeferenced_Plat
[5302] Township and Range Lines_data | pub=State of Utah | cols: GCDBPLSSID, LABEL, TNUM, RNUM, QNUM, Shape.STArea(), GlobalID, TOWNSHIP, OBJECTID, len
[5303] Pull Box | pub=State of Utah | cols: the_geom, Size, Type, OBJECTID, Location, Ownership, Address, AssetID
[5304] Zoning_data | pub=State of Utah | cols: created_date, ZONE_DESCRIPTION, OBJECTID, ZONE_ID, last_edited_user, APPROVED_DATE, ORD_NO, CALCULATED_ACRES, MODIFIED_DATE, last_edited_date
[5305] Dambreaks BOR Echo SF_data | pub=State of Utah | cols: OBJECTID, TYPE, SHAPE_Leng, AREA_SQMI, Shape_Area, the_geom, Shape_Length, NAME
[5306] SGID93.POLITICAL.VistaBallotAreas_Proposed_data | pub=State of Utah | cols: the_geom, Comments, Shape_Length, VersionNbr, EffectiveDate, VistaID, Shape_Area, GlobalID, RcvdDate, CountyID
[5307] Distribution Main | pub=State of Utah | cols: GlobalID, LINE_TYPE, last_edited_date, created_date, WATER_ENTITY, FACILITYID, CONST_STATUS, the_geom, Enabled, YEAR_
[5308] SITLA.PUB.Development_Lots_Subdivision_data | pub=State of Utah | cols: SHAPE.STArea(), the_geom, suffix, sold_status_descr, SHAPE.STLength(), customer_name, lot_price, descr, leasegis, class
[5312] OilGasWells_data | pub=State of Utah | cols: MERIDIAN, TotCum_Gas, FootageNS, Ground_Elev, Range, CoordsSurf_E, Kelly_Elev, Dir_Vert, LeaseNumber, UTMZone
[5313] Open Work Orders | pub=State of Utah | cols: Severity, Assigned To, Date Resolved, Resolved By, Work Order Comments, Action Type, Segment ID, OBJECTID, Last Update Date, Latitude
[5314] Comm Council | pub=State of Utah | cols: Shape_Length, COUNCIL, Shape_Area, OBJECTID_1, the_geom, OBJECTID, SQUARE_MI, CENSUS_POPULATION
[5315] Drainage Lines | pub=State of Utah | cols: Comments, SHAPE.STLength(), OBJECTID, the_geom, Date_Installed, Date_Collected, Location, AssetID, Address
[5317] Deed points~.25K | pub=State of Utah | cols: DOC_ENTRY, LAST_EDITED_DATE, Book & Page, MAP#, the_geom, GLOBALID, DOC_OWNER, CREATED_DATE, ParcelID Label, LAST_EDITED_USER
[5318] Legislative Research Performance Outcome Measures | pub=State of Utah | cols: pm_entryannotations, pm_reportdate, pm_entryvalue, pm_entryid, pm_description, pm_category, pm_format, organizationalunitid, pm_entryFY, intend_to_archive
[5319] Township and Range Numbers_data | pub=State of Utah | cols: BASEMERIDIAN, STEWARD, OBJECTID, LABEL, RNUM, QNUM, RANGE, SYSLABEL, QUADRANT, TRSYS
[5321] School Boundaries | pub=State of Utah | cols: Area (sq. ft.), URL, the_geom, OBJECTID, Perimeter (ft.), School ID, Name
[5323] Police Reporting Areas | pub=State of Utah | cols: CITYDESCR, the_geom, STATUS, Shape.len, OBJECTID, ACRES, REPT_AREA, DISP_AREA, TYPE, Shape.area
[5324] Sandy Plow Roads | pub=State of Utah | cols: Shape.len, BWAREA, OBJECTID, the_geom
[5325] MOSQ.Mosq_Districts | pub=State of Utah | cols: OBJECTID, GLOBALID, LAST_EDITED_USER, the_geom, District Number, SHAPE.LEN, LAST_EDITED_DATE, SHAPE.AREA, DISTRICT_NAME, CREATED_DATE
[5326] Canals_data | pub=State of Utah | cols: the_geom, NAME, OBJECTID
[5327] Amateur Radio Repeaters_data | pub=State of Utah | cols: NOTES, INPUT, USE, LON_DD, OBJECTID, AREA_, OUTPUT, LOCATION, SITE_NAME, WEBPAGE
[5328] DRG24K_GeoPDF_data | pub=State of Utah | cols: EXT, the_geom, TILE, OBJECTID, SIZE, SHAPE_Area, PATH, SHAPE_Length
[5329] Earthquake Ground Shaking MMI - Taylorsville_data | pub=State of Utah | cols: the_geom, SHAPE_Area, GRID_CODE, SHAPE_Length, OBJECTID
[5331] Attorney Generals Office Performance Outcome Measures | pub=State of Utah | cols: pm_entryid, pmagencyid, agencyid, agencyname, pmimpactareacategory, intend_to_archive, pm_status_id, pm_category, organizationalunitid, pm_entrytarget
[5334] Parcels | pub=State of Utah | cols: Floodplain, Range, Mun_Tax_Agency, Historic_Tiers, multi_names, source_doc, full_mkt_total_bldg, nbhrd_low_sale, tax_class3, Township
[5335] UDOTRoutes_LRS | pub=State of Utah | cols: RT_DATE_B, DEP_DATE, the_geom, RT_NAME, DEP_NOTES, RT_RAMPNBR, RT_DATE_E, RT_DIR_ID, RT_MINDESC, RT_DIR
[5336] County Senior Centers | pub=State of Utah | cols: NAME, GlobalID, OBJECTID, ADDRESS, the_geom, ZIP
[5338] Building | pub=State of Utah | cols: Shape.STLength(), Shape.STArea(), BuildingId, Location, Address, Ownership, the_geom, OBJECTID, AssetID, Type
[5339] Dambreaks BOR Redfleet_data | pub=State of Utah | cols: NAME, Shape_Area, AREA_SQMI, Shape_Length, OBJECTID, SHAPE_Leng, TYPE, the_geom
[5341] Washington County Skilled Nursing Facilities | pub=State of Utah | cols: Total General Inpatient Care Services Revenue, Total Days Title Medicare, SNF Admissions Other, SNF Admissions Title Medicare, Wage-related Costs (core), SNF Admissions Title Medicaid, Number of Beds, SNF Days Title Medicaid, Total Days Title Medicaid, SNF Days Other
[5343] Laterals | pub=State of Utah | cols: Enabled, the_geom, CONST_STATUS, LINE_TYPE, created_user, YEAR_, last_edited_user, FACILITYID, created_date, OBJECTID
[5344] Utah House District Outlines | pub=State of Utah | cols: the_geom, OBJECTID, DIST, COLOR4, Shape.len, Shape.area, URL
[5345] Mosq_Spots | pub=State of Utah | cols: Ochlerotatus increpitus_2, Water Depth, Water Characteristics_2, Chemical Amt in Ounces_2, Ochlerotatus niphadopsis, Ochlerotatus campestris_2, Last Treatment Method, Fish Present, Watch, Ochlerotatus increpitus
[5346] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: LOCATION, Anopheles freeborni, TRAP_NUM, Ochlerotatus dorsalis, Trap Name_2, MOSQ.MosqTrap_Catch.GLOBALID, Culex erythrothorax_2, the_geom, Culex tarsalis, Ochlerotatus increpitus
[5349] Signs (Inpsection Needed) | pub=State of Utah | cols: created_user, OBJECTID, InspectionNeeded, REMARKS, FACE_POSIT, Type, ARROW, LastInspFY, last_edited_user, SignGraphic
[5350] Building Footprints | pub=State of Utah | cols: RuleID_80, HT_Sources, HT_Assigned, RuleID_50, Needed_Fire_Flow, CopyID, DATE_UPDATED, Sources, Notes, OBJECTID
[5351] SITLA LaSal Route Markers_data | pub=State of Utah | cols: the_geom, OHV Type, Road_Type, OBJECTID, GlobalID
[5352] Historic Photos | pub=State of Utah | cols: Building_Still_Exists, Description, OBJECTID, the_geom, URL, Angle, People_in_Photo, Date, Publish, Notes
[5353] Other/Private | pub=State of Utah | cols: FS_ZONE, S_ACCUR, S_NAME, MAINTENANCE, LS_ZONE, ONE_WAY, Shape.STLength(), GlobalID, S_USE, ALT_NAME
[5354] Great Salt Lake | pub=State of Utah | cols: AREA, Shape_Length, GlobalID, PERIMETER, the_geom, OBJECTID, Shape_Area, GSL_, GSL_ID
[5355] LEA Outlined | pub=State of Utah | cols: NBHD, ACRES, SHAPE.LEN, GLOBALID, OBJECTID_1, OBJECTID, SHAPE.AREA, the_geom
