[403] Number of under-five deaths from malaria | pub=WHO | desc: Number of under-five deaths from malaria | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[405] Contraceptive prevalence (%) | pub=WHO | desc: Contraceptive prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[409] Adult indicator 1 definition | pub=WHO | desc: Adult indicator 1 definition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[410] Youth indicator 2 rate | pub=WHO | desc: Youth indicator 2 rate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[411] Adult indicator 2 definition | pub=WHO | desc: Adult indicator 2 definition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[412] Youth indicator 2 definition | pub=WHO | desc: Youth indicator 2 definition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[413] Estimate of current tobacco use prevalence (%) | pub=WHO | desc: Estimate of current tobacco use prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[417] Adult smokeless tobacco use indicator rate | pub=WHO | desc: Adult smokeless tobacco use indicator rate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[418] Youth smokeless tobacco use indicator rate | pub=WHO | desc: Youth smokeless tobacco use indicator rate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[419] Name of survey of adults - smokeless | pub=WHO | desc: Name of survey of adults - smokeless | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[420] Youth survey age range | pub=WHO | desc: Youth survey age range | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[421] Year of survey of youth | pub=WHO | desc: Year of survey of youth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[422] Malaria - number of reported deaths | pub=WHO | desc: Malaria - number of reported deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[424] Current cigarette smoking, crude adjusted | pub=WHO | desc: Current cigarette smoking, crude adjusted | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[425] Estimate of daily cigarette smoking prevalence (%) | pub=WHO | desc: Estimate of daily cigarette smoking prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[426] Youth survey age range - smokeless | pub=WHO | desc: Youth survey age range - smokeless | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
