[5918] Parcels < 5000_data | pub=State of Utah | cols: tax_class3, lot_use, own_apt_num, new_growth_value, multi_names, StreetName, HouseNum, nbhrd_av_sale, PreDir, nbhrd_high_sale
[5920] Communities | pub=State of Utah | cols: HOME_EMAIL, COMMUNITY_ID, LEADER_PHONE, HOME_PHONE2, OBJECTID, Shape.area, Updated_By, Unicorp_HH, Unicorp_Pop, Color
[5921] Borders | pub=State of Utah | cols: City, OBJECTID, Label, Shape.area, Sq_Miles, Shape.len, the_geom
[5922] GeoNotes | pub=State of Utah | cols: last_edited_date, OBJECTID, last_edited_user, created_user, the_geom, GlobalID, Note, created_date, Date
[5923] LiDAR2013_2014_50cm_WasatchFront_DTM_Tiles_data | pub=State of Utah | cols: EXT, OBJECTID, SIZE, the_geom, PATH, TILE, Shape_Area, Shape_Length
[5925] DWMRCLLRWUMillFacilities_data | pub=State of Utah | cols: CountyFIPS, TYPE, Facility City, EditedBy, Shape_Area, CITY, Facility ZIP, GlobalID, ADDRESS, CreatedOn
[5926] DAQAirMonitorByStation_data | pub=State of Utah | cols: StationAddress, StationName, ADDRESS, CITY, MapLabel, ENVIROAPPLABEL, NAME, TYPE, StationCity, ID
[5927] VistaBallotAreas_Proposed_data | pub=State of Utah | cols: Comments, PrecinctID, AliasName, SHAPE_Area, SubPrecinctID, CountyID, VistaID, VersionNbr, GlobalID, SHAPE_Length
[5929] Noxious Weeds_data | pub=State of Utah | cols: BIKE, URL, SHAPE.STLength(), HORSE, the_geom, SURFACE_TYPE, TRAIL_NAME, MILES, DESCRIPTION, MANAGEMENT
[5930] Waterway Inspections | pub=State of Utah | cols: Work Completion Date, GlobalID, Associated Waterway, ConditionNotes, last_edited_date, InspectionDate, Condition, Work Completed By, last_edited_user, OBJECTID
[5931] La Verkin_data | pub=State of Utah | cols: UPDATED, SOURCE, the_geom, GEN_ZONE, ZONINGCODE, SHAPE.STArea(), SHAPE.STLength(), OBJECTID, DESCRIPTION
[5932] Hike_data | pub=State of Utah | cols: BIKE_DIFFICULTY, ZONE, ADA_ACCESSIBLE, Recreation_Area, ROUTE_TYPE, MILES, URL, HISTORIC_SIGNIFICANCE, DESCRIPTION, Trail_Name
[5933] Railroads | pub=State of Utah | cols: the_geom, CLASS, OBJECTID, SHAPE.STLength()
[5934] Outfalls | pub=State of Utah | cols: Type, GPS Date, Pipe Material, Elevation, Location, Pipe_Size, Enabled, MaintRating, created_user, last_edited_date
[5935] Highway Shields_4K | pub=State of Utah | desc: Shields Designating Highways | cols: OBJECTID, GLOBALID, Source Feature ID, Data Source, Last Update Date, Last Editor, Edit Comments, CREATED_USER, CREATED_DATE, LAST_EDITED_USER
[5936] Plows | pub=State of Utah | cols: name, deviceId, OBJECTID, odometer, vin, speed, bearing, the_geom, serialNumber, isOn
[5937] DDWIrrigatedCropConsumptiveUseZones_data | pub=State of Utah | cols: ENVIROAPPSYMBOL, SHAPE_Area, TYPE, ADDRESS, NAME, ENVIROAPPLABEL, ID, CUZONE, OBJECTID, CITY
[5938] pubutils.PU.SampleTaps | pub=State of Utah | cols: Enabled, Location, OBJECTID, last_edited_date, last_edited_user, FACILITYID, created_date, created_user, the_geom, InstallDate
[5939] Home Businesses | pub=State of Utah | cols: Bus_Typ, Bus_Desc, Open_Dt, BillCycle, Appl_Dt, ACC, Address, ContactTel, Zip, Inspection_Date
[5940] Watercourses_data | pub=State of Utah | cols: OBJECTID, SHAPE.STArea(), AllotName, AllotNo, PastureNm, SHAPE.STLength(), Manager, the_geom
[5941] DWQMercuryInFishTissue_data | pub=State of Utah | cols: FISH_ADVIS, LONNAD83DD, MAX, TYPE, AVERAGE, MAPLABEL, ENVIROAPPLABEL, TYPE_2, the_geom, AVE_WEIGHT
[5944] Zoning | pub=State of Utah | cols: ZONE_ACREA, Editor, the_geom, NAME, OBJECTID, Shape.len, ZONE, Definition, Shape.area, SD_ZONE
[5945] PRV | pub=State of Utah | cols: last_edited_date, U_ZONE, SET_UP, Size, DNZONE, LOW, CONST_STATUS, HIGH, GlobalID, created_date
[5946] Counties | pub=State of Utah | cols: NAME, OBJECTID, FIPS, Shape.STLength(), the_geom, Shape.STArea(), ENTITYNBR, ENTITYYR, COUNTYNBR, STATEPLANE
[5947] SGID93.CADASTRE.Parcels_Piute_data | pub=State of Utah | cols: RECORDER, FIPS, Parcel Notes, County Parcel Website, PARCEL_CITY, Shape_Area, PARCEL_ZIP, OBJECTID, Parcels Current As Of, PARCEL_ID
[5949] Pipes | pub=State of Utah | cols: INVERT_IN, PIPE_SIZE, Cond_Age, CONDITION, CRITICALITY, the_geom, Pipe Condition, OBJECTID, InvertNum, Crit_Irr
[5951] Waterways | pub=State of Utah | cols: CLASS, CLASS___TYPE, InPark, NAME, CHANNEL_TYPE, OBJECTID, the_geom, Municipality, Shape.len
[5952] Agency/Department | pub=State of Utah | cols: NAME, the_geom, CONTACT, ID, LINK, Shape.STLength(), DESCRIPTION, PublicView, OBJECTID, Agency
[5953] LiDAR2011_1m_GSL_Middle_DEM_Tiles_data | pub=State of Utah | cols: PATH, DATE, Shape_Length, the_geom, WORLDFILE, TILE, METADATA, SIZE, EXT, OBJECTID
[5954] LiDAR2006_1_25m_Raw_Tiles_data | pub=State of Utah | cols: SIZE, METADATA, EXT, DATE, SHAPE_Area, the_geom, OBJECTID, SHAPE_Length, TILE, WORLDFILE
[5955] SITLA.PUB.LandOwnership_WM_data | pub=State of Utah | cols: Tribe, GIS_Acres, DESIG, Label_State, OWNER AGENCY, UTAH BLM LEGEND, Label_Federal, OBJECTID, OWNER, SHAPE.STArea()
[5958] slcogis.GDB_HL_PHIB.CUMULATIVE_BY_STATUS | pub=State of Utah | cols: Black-D2, M-%-FULL-RUNNING, NH-%-PARTIAL-RUNNING, NHOPI-D2, 70-79-%-FULL-RUNNING, H-%-PARTIAL-RUNNING, 10-19-FULL-RUNNING, 40-49-%-PARTIAL-RUNNING, NHOPI-%-FULL-RUNNING, 60-69-D2
[5959] Parks | pub=State of Utah | cols: EditDate, Editor, NAME, Softball_Lighting, Jogging_Path_Miles, Indoor_Pavilion, Reference, Parking_Stalls, Playground, OBJECTID
[5961] MMRP_data | pub=State of Utah | cols: ID, SITECITY, PROJDESC, ADDRESS, SITEDESC, ERB_, MAPLABEL, ZIPCODE, ST_KEY, OBJECTID
[5962] Sign Post System | pub=State of Utah | cols: Sign2_Condition, AW_SegmentID, GLOBALID, LAST_EDITED_DATE, CREATED_DATE, LastUpdate, Sign3_Installer, Sign3_InstallDate, Sign2_Installer, Sign2
[5963] City Borders | pub=State of Utah | cols: the_geom, RuleID_1, NAME, Shape.area, RuleID_2, Shape.len, OBJECTID
[5964] Tax Districts | pub=State of Utah | cols: SCH_DIST, Shape_Area, Shape_Length, SINGLE, the_geom, REDEVELP, CODES, NAME, tax_dist, OBJECTID
[5965] Metro Townships | pub=State of Utah | cols: NAME, SQUARE_M, TYPE, Shape_STAr, Shape_STLe, Shape_Leng, Shape_Length, OBJECTID, Label, Shape_Area
[5966] Cul de Sac Points | pub=State of Utah | cols: CREATED_DATE, Last Update Date, LAST_EDITED_DATE, GLOBALID, OBJECTID, the_geom, Last Editor, LAST_EDITED_USER, VISIBLE, CREATED_USER
[5967] Bubble Up | pub=State of Utah | cols: ACTIVE, OBJECTID, Enabled, FrameGrate, OWNERSHIP, PROJECT, ELEVATION, INVERT5, the_geom, StructCond
[5969] Hospital | pub=State of Utah | cols: the_geom, Latitude, NAME, HAS_FOOTPRINT, TYPE, CATEGORY, OBJECTID, Longitude, Address
[5970] PRV | pub=State of Utah | cols: the_geom, OBJECTID, FACILITYID, PRV_NUMBER, COMMENTS, LOCATION, U_ZONE, DNZONE, HIGH, LOW
[5971] Picnic Table | pub=State of Utah | cols: Type, Covered, Size, Material, OBJECTID, Anchored, Location, Address, AssetID, the_geom
[5972] EOCs_data | pub=State of Utah | cols: DURATION, COUNTY, UNLISTED, STATUS, OTHER, MOBILE_FAX, ARES_UHF, the_geom, MOBILE_PH, ZIP
[5973] DEM30_Quads_data | pub=State of Utah | cols: PATH, TILE, WORLDFILE, SHAPE_Length, DATE, EXT, SIZE, METADATA, OBJECTID, the_geom
[5974] ut_wells_032217 | pub=State of Utah | cols: Total_Cumu, Township_1, Field_Name, Elev__KB, Elev__DF, TD, Township_2, Surface_Ow, Elev__GR, Longitude
[5975] Unknown | pub=State of Utah | cols: OBJECTID, GlobalID, HasAttachment, last_edited_user, the_geom, Shape.len, last_edited_date, NAME, SIZE, created_date
[5976] Other City | pub=State of Utah | cols: S_ACCESS, SUF_DIR, LZIP, EXCLUDE, ONE_WAY, FS_ZONE, ALT_NAME, LABEL, RuleID, ACS_SUFDIR
[5977] Roads not Plowed by Sandy | pub=State of Utah | cols: LS_ZONE, GlobalID, VECCOMMENTS, RuleID, fromleft, EDITOR, R_JURIS, S_DATE, UNIQUE_ID, CARTO_CODE
[5978] Township and Range Numbers_data | pub=State of Utah | cols: LABEL, RANGE, the_geom, ORIG_FID, STEWARD, QUADRANT, TNUM, BASEMERIDIAN, RNUM, QNUM
[5979] Sewer Districts | pub=State of Utah | cols: ADDRESS, NAME1, OBJECTID, Shape_Length, SYMBOL, Shape_Area, EMERGENCY_, SWR_DIST_, the_geom, PHONE
[5980] Corner Reports | pub=State of Utah | cols: SURVEYOR, OBJECTID_1, SECTION, filename, page_descr, the_geom, BUSINESS_N, doc_id, TOWNSHIP_R, POINT_NAME
[5981] Grill | pub=State of Utah | cols: OBJECTID, Address, Type, AssetID, Location, the_geom
[5982] CountyRoads_RRAMS~.5k | pub=State of Utah | cols: Total Condition Index, Grav/Dirt: Longitudinal Erosion Density, Grav/Dirt: Improper Cross Section (Inadequate Crown) Density, Concrete: Lane/Shoulder Separation Severity, Grav/Dirt: Depression (Birth baths/Ponding) Severity, Grav/Dirt: Pot Hole Density, Asph/Chip: Tranverse Crack Severity, DEACTDATE, Concrete: Corner Breaks Density, Asph/Chip: Pot Hole Density
[5983] Uncompagrhe Revenue - Fiscal Year 2017_data | pub=State of Utah | cols: lseacres, class, sufix, nbr, classvalue, revenue, app_con_abbrev, the_geom, app_descr, SHAPE.STLength()
