[4308] Swing Joints | pub=State of Utah | cols: Phone_No, last_edited_user, OBJECTID, the_geom, GlobalID, Address, Name, created_user, Brand, SN_No
[4309] White Background_144K | pub=State of Utah | cols: SHAPE_Length, OBJECTID, the_geom, SHAPE_Area
[4310] Sample Taps | pub=State of Utah | cols: created_date, NORTHING, last_edited_date, OBJECTID, FACILITYID, GPS Date, GlobalID, EASTING, InstallDate, last_edited_user
[4311] Sandy City Border | pub=State of Utah | cols: the_geom, RuleID_1, NAME, Shape.len, RuleID_2, Shape.area, OBJECTID
[4313] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Last Catch Date, LAST_EDITED_DATE, Ochlerotatus campestris, Ochlerotatus nigromaculis, Culex pipiens, Culex erythrothorax, Trap Name, Y Lat, Culex tarsalis, Culiseta incidens
[4315] Liquefaction Potential | pub=State of Utah | cols: LIQFAC_ID, LIQ27_ID, LIQFAC_, HEX_CODE, slcogis.GDB_PDS.Liquifaction.AREA, the_geom, OBJECTID, Shape_Length, SHAPE_LENG, LIQ27_
[4316] Code Inspection Districts | pub=State of Utah | cols: Temporary_Permit, Households, the_geom, General_Contractor_Business, Officer_Name, Businesses, Home_Occupation, Id, Sub_contractor, Commercial_Business
[4318] 3D GeoJson upload and conversion test | pub=State of Utah | cols: Counties in Utah, OBJECTID, y, input_stre, locator, input_zone, matchAddre, x, standardiz, Zip Codes
[4319] live_parcel_line | pub=State of Utah | cols: CREATED_DATE, SERIAL, CREATED_USER, GLOBALID, LAST_EDITED_USER, TRAVID, COGO Tangent, COGO ArcLength, SHAPE_Length, COGO Radius
[4320] Concrete Inspection Zones | pub=State of Utah | cols: Shape.STArea(), LocationCount, InspAreaDesc, InspArea, OBJECTID, Shape.STLength(), the_geom
[4322] Plat Hook~.25K | pub=State of Utah | cols: the_geom, SCALE, ANGLE, CREATED_USER, GLOBALID, OBJECTID, LAST_EDITED_USER, LAST_EDITED_DATE, CREATED_DATE
[4323] ZipCodes | pub=State of Utah | cols: OBJECTID, Last Update Date, SHAPE_Area, Last Editor, SHAPE_Length, GLOBALID, ZIPCODE, the_geom
[4324] wells | pub=State of Utah | cols: NUMBER_PUMPS, PUMP_MANUF, FID, TYPE, MOTOR_TYPE, NO_OF_STA, OUTLET_SIZE, ID, PUMP_MODEL, DESIGN_POI
[4325] Railroads | pub=State of Utah | cols: CLASS, OBJECTID, SHAPE.STLength(), the_geom
[4326] CountyRoads_RRAMS~1k | pub=State of Utah | cols: Total Ag Field Accesses, Accidents in Last 3 Years, Last Inspection, Asph/Chip: Tranverse Crack Density, Resurface Type, Total Recreational Accesses, Concrete: Cracked Panels (Meander Cracks) Density, Right Lane Width, Total Segment Value, Segment Signs Value
[4328] Sump | pub=State of Utah | cols: CODE, CONDITIONDATE, MaintSched, the_geom, OilSeparator, RuleID, FEATURE_ID, FrameLid, OWNERSHIP, ACTIVE
[4329] East Jordan Canal | pub=State of Utah | cols: HasAttachment, last_edited_date, OBJECTID, created_date, SIZE, last_edited_user, created_user, Shape.len, GlobalID, NAME
[4330] PubUtils.PU.TPOLE | pub=State of Utah | cols: FIXTURE_INSTALL, created_user, NORTHING, last_edited_user, LUMEN, EPOLE_NUM, LOCATION, NUM_HEADS, DATE_INSTA, POLE_NUM
[4333] Signs | pub=State of Utah | cols: SPEED_LIMIT, STREET_AT, MATERIAL, District, OBJECTID, RETIRED, Type, created_user, MUTCD, MUTCD_Desc
[4334] Mosquito Call Before Spray | pub=State of Utah | cols: OBJECTID, CREATED_DATE, PHONE, COMMENT, ADDRESS, LAST_EDITED_USER, GLOBALID, CREATED_USER, SHAPE.AREA, NAME
[4335] Private | pub=State of Utah | cols: Rcitycd, LABEL, ALT_NAME, ACS_ALIAS, COMMENTS, OBJECTID, S_NAME, VECCOMMENTS, S_DATE, PRE_DIR
[4337] Springville Zoning | pub=State of Utah | cols: ZONEDESC, EDITCOMMENTS, SOURCEFEATUREID, DOCUMENT ENTRY#, LASTEDITOR, SPRINGVILLE ZONE LABEL, ZONECLASS, ISVISIBLE, the_geom, DOCUMENT YEAR
[4340] UtahQualified | pub=State of Utah | cols: State, Shape.STLength(), Shape.STArea(), Unemployment Rate (%), Population, Per Capita Income ($), Tract, QOZ, Economic Development District, County
[4341] State Border | pub=State of Utah | cols: Shape.area, OBJECTID, the_geom, STATE, Shape.len
[4343] Multi_Unit_Building_Addresses | pub=State of Utah | cols: Address, the_geom, OBJECTID
[4344] Borders | pub=State of Utah | cols: Shape.len, the_geom, Sq_Miles, City, OBJECTID, Label, Shape.area
[4345] Accidents | pub=State of Utah | cols: DLD_NUMBER, Segment ID, TRAIN, LAST_EDITED_DATE, CREATED_DATE, YEAR, CASE_NUMBER, Project ID, ROAD, GLOBALID
[4346] SGID93.CADASTRE.Parcels_Washington_data | pub=State of Utah | cols: Parcels Published, PARCEL_CITY, Shape_Length, OBJECTID, County Parcel Website, Parcels Received, PARCEL_ID, Parcel Year, Parcel Notes, FIPS
[4347] Cemetery_Labels | pub=State of Utah | cols: Underline, SHAPE.STLength(), VerticalAlignment, XOffset, Override, YOffset, SHAPE.STArea(), Angle, Bold, FontSize
[4348] Fire hydrants | pub=State of Utah | cols: WATER_ENTITY, CONST_STATUS, VSIZE, MANUF_DATE, HYD_ID, PROVIDER, HYDSIZE, last_edited_user, VMAUF, COMMENTS
[4349] CBIGBOOK | pub=State of Utah | cols: GlobalID, FACILITYID, PWTYPE, SHAPE.area, the_geom, FEATURE_ID, ROUTE_, ACCOUNTS, TYPE, OBJECTID
[4350] CountyRoads_RRAMS_CurYear~1K | pub=State of Utah | cols: Asph/Chip: Edge Crack Severity, Avg TCI for Project ID, 85th Percentile Speed, Total Ag Field Accesses, Maintained By, Left ROW, Left Drainage Comments, Asph/Chip: Alligator (Fatigue) Crack Severity, Concrete: Faulting Density, Concrete: Corner Breaks Density
[4353] Sweepers | pub=State of Utah | cols: speed, vin, bearing, deviceId, isOn, odometer, OBJECTID, serialNumber, name, the_geom
[4355] Street Centerlines | pub=State of Utah | cols: STREET, DATA_DATE, S_ACCESS, S_DATE, OBJECTID, Rcitycd, RuleID, UNIQUE_ID, SUF_DIR, CFCC
[4357] CountyRoads_RRAMS~18k | pub=State of Utah | cols: Asph/Chip: Slippage (Peeling) Crack Density, Total Commercial Car Accesses, Surface Thickness, the_geom, Project Length, Resurface Date, Asph/Chip: Depression (Birth baths) Severity, Asph/Chip: Corrugation Severity, Lane Width Condition, Total Low Level Accesses
