[551] Deaths due to tuberculosis among HIV-positive people (per 100 000 population) | pub=WHO | desc: Deaths due to tuberculosis among HIV-positive people (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[552] Prevalence of HIV among adults aged >=15 years (per 100 000 population) | pub=WHO | desc: Prevalence of HIV among adults aged >=15 years (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[553] Incidence of tuberculosis (per 100 000 population per year) | pub=WHO | desc: Incidence of tuberculosis (per 100 000 population per year) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[554] Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products,  | pub=WHO | desc: Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[555] Ban on advertising: International TV and radio (broadcast from abroad, including satellite) | pub=WHO | desc: Ban on advertising: International TV and radio (broadcast from abroad, including satellite) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[556] Subnational advertising, promotion and sponsorship bans - at least one jurisdiction has a comprehens | pub=WHO | desc: Subnational advertising, promotion and sponsorship bans - at least one jurisdiction has a comprehensive ban in place | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[557] Median availability of selected generic medicines (%) - Public | pub=WHO | desc: Median availability of selected generic medicines (%) - Public | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[558] Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended ag | pub=WHO | desc: Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[559] Unmet need for family planning, among girls aged 15-19 (%) | pub=WHO | desc: Unmet need for family planning, among girls aged 15-19 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[560] Under-five mortality rate (probability of dying by age 5 per 1000 live births) | pub=WHO | desc: Under-five mortality rate (probability of dying by age 5 per 1000 live births) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[561] Median consumer price ratio of selected generic medicines - Public | pub=WHO | desc: Median consumer price ratio of selected generic medicines - Public | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[562] Children aged <5 years with fever who received treatment with any antimalarial (%) | pub=WHO | desc: Children aged <5 years with fever who received treatment with any antimalarial (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[563] Children aged <5 years sleeping under insecticide-treated nets (%) | pub=WHO | desc: Children aged <5 years sleeping under insecticide-treated nets (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[564] Deaths due to tuberculosis among HIV-negative people (per 100 000 population) | pub=WHO | desc: Deaths due to tuberculosis among HIV-negative people (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[565] Climate change  attributable DALYs per 100'000 children under 5 years | pub=WHO | desc: Climate change  attributable DALYs per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[566] Poverty headcount ratio at $1.25 a day (PPP) (% of population) | pub=WHO | desc: Poverty headcount ratio at $1.25 a day (PPP) (% of population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
