[1943] Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB  | pub=WHO | desc: Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q3 income or expenditure quantile. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1944] Proportion of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) (%) | pub=WHO | desc: Proportion of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1945] Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed. | pub=WHO | desc: Number of people diagnosed with new episode of pulmonary TB who are bacteriologically confirmed. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1946] Inclusion of radon education for building professionals | pub=WHO | desc: Inclusion of radon education for building professionals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1947] Prevalent cases of gonorrhoea in individuals (in thousands) | pub=WHO | desc: Prevalent cases of gonorrhoea in individuals (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1948] Authorization/accreditation required for official radon measurement providers | pub=WHO | desc: Authorization/accreditation required for official radon measurement providers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1949] In-prison people who currently use tobacco  (number of prisoners) | pub=WHO | desc: In-prison people who currently use tobacco  (number of prisoners) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1950] Existence of initiatives/collaborations on assistive technology | pub=WHO | desc: Existence of initiatives/collaborations on assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1951] One-year-old children who have not received any doses of the DTP vaccine (%) | pub=WHO | desc: One-year-old children who have not received any doses of the DTP vaccine (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1952] Collaboration with government sectors by groups (%) | pub=WHO | desc: Collaboration with government sectors by groups (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
