[9537] Average per capita transfer held by 2nd quintile - Domestic Private Transfers | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9538] Average per capita transfer held by 2nd quintile - Domestic Private Transfers -urban | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9539] Average per capita transfer held by 3rd quintile - Domestic Private Transfers (preT) | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9540] Average per capita transfer held by 3rd quintile - Domestic Private Transfers -rural | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9541] Average per capita transfer held by 3rd quintile - Domestic Private Transfers | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9542] Average per capita transfer held by 3rd quintile - Domestic Private Transfers -urban | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9543] Average per capita transfer held by 4th quintile - Domestic Private Transfers (preT) | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9544] Average per capita transfer held by 4th quintile - Domestic Private Transfers -rural | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9545] Average per capita transfer held by 4th quintile - Domestic Private Transfers | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9546] Average per capita transfer held by 4th quintile - Domestic Private Transfers -urban | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9547] Average per capita transfer held by 5th quintile (richest) - Domestic Private Transfers (preT) | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
