[146] Proportion of countries with systems to track and make public allocations for gender equality and wo | pub=United Nations | desc: Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.c
[147] Proportion of population using safely managed drinking water services | pub=United Nations | desc: Proportion of population using safely managed drinking water services | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.1
[148] Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facilit | pub=United Nations | desc: Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.2
[149] Proportion of bodies of water with good ambient water quality | pub=United Nations | desc: Proportion of bodies of water with good ambient water quality | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.3
[150] Proportion of domestic and industrial wastewater flows safely treated | pub=United Nations | desc: Proportion of domestic and industrial wastewater flows safely treated | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.3
[151] Level of water stress: freshwater withdrawal as a proportion of available freshwater resources | pub=United Nations | desc: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.4
[152] Proportion of transboundary basin area with an operational arrangement for water cooperation | pub=United Nations | desc: Proportion of transboundary basin area with an operational arrangement for water cooperation | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.5
[153] Change in the extent of water-related ecosystems over time | pub=United Nations | desc: Change in the extent of water-related ecosystems over time | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.6
[154] Amount of water- and sanitation-related official development assistance that is part of a government | pub=United Nations | desc: Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.a
[155] Proportion of local administrative units with established and operational policies and procedures fo | pub=United Nations | desc: Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.b
[156] Proportion of population with access to electricity | pub=United Nations | desc: Proportion of population with access to electricity | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG7, target-7.1
[157] Proportion of population with primary reliance on clean fuels and technology | pub=United Nations | desc: Proportion of population with primary reliance on clean fuels and technology | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG7, target-7.1
