[1847] Availability of education/training for assistive technology | pub=WHO | desc: Availability of education/training for assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1848] Reference level for buildings with high public occupancy (Bq/m3) | pub=WHO | desc: Reference level for buildings with high public occupancy (Bq/m3) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1849] Disability-adjusted life years caused by hazards, aged 5 years and above | pub=WHO | desc: Disability-adjusted life years caused by hazards, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1850] Number of surveillance sites reporting to GLASS: In- and outpatient facilities | pub=WHO | desc: Number of surveillance sites reporting to GLASS: In- and outpatient facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1851] Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (millions) | pub=WHO | desc: Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1852] Compliance with smoke-free pubs and bars law (score) | pub=WHO | desc: Compliance with smoke-free pubs and bars law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1853] Most recent school-based survey among adolescents was representative of the national population | pub=WHO | desc: Most recent school-based survey among adolescents was representative of the national population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1854] Existence of financial mechanisms for assistive technology | pub=WHO | desc: Existence of financial mechanisms for assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1855] In-prison patient involvement in healthcare planning and reform | pub=WHO | desc: In-prison patient involvement in healthcare planning and reform | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1856] Proportion of women and girls aged 15 years or older who have been subjected to who have been subjec | pub=WHO | desc: Proportion of women and girls aged 15 years or older who have been subjected to who have been subjected to sexual violence by someone other than a partner in the past 12 months (%) – related to SDG 5. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1857] Eligible women attending antenatal care who were treated for HBV | pub=WHO | desc: Eligible women attending antenatal care who were treated for HBV | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1858] Incident cases of active syphilis in 15-49 year olds (in thousands) | pub=WHO | desc: Incident cases of active syphilis in 15-49 year olds (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1859] In-prison people who inject/have injected drugs (number of prisoners, over the last 12 months) | pub=WHO | desc: In-prison people who inject/have injected drugs (number of prisoners, over the last 12 months) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1860] Substance use disorders service coverage, data on service utilization | pub=WHO | desc: Substance use disorders service coverage, data on service utilization | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1861] Prevalence of daily cigarette smoking among adolescents (%) | pub=WHO | desc: Prevalence of daily cigarette smoking among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1862] Existence of responsible ministry/authority on assistive technology | pub=WHO | desc: Existence of responsible ministry/authority on assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1863] Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to | pub=WHO | desc: Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1864] Representation of latest youth prevalence survey (nonsmoked) | pub=WHO | desc: Representation of latest youth prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1865] Number of pregnant women (aged 15-49 years) with anaemia (thousands) | pub=WHO | desc: Number of pregnant women (aged 15-49 years) with anaemia (thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1866] Amount of water- and sanitation-related official development assistance that is part of a government | pub=WHO | desc: Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1867] Prevalence of bacteriologically-confirmed pulmonary TB among those aged ≥15 years, per 100,000 popul | pub=WHO | desc: Prevalence of bacteriologically-confirmed pulmonary TB among those aged ≥15 years, per 100,000 population by age group | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1868] Men who have sex with men: Population size estimate (number) | pub=WHO | desc: Men who have sex with men: Population size estimate (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
