[264] Total value of inward and outward illicit financial flows (in current United States dollars) | pub=United Nations | desc: Total value of inward and outward illicit financial flows (in current United States dollars) | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.4
[265] Proportion of businesses that had at least one contact with a public official and that paid a bribe  | pub=United Nations | desc: Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 mon | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.5
[266] Proportion of persons who had at least one contact with a public official and who paid a bribe to a  | pub=United Nations | desc: Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.5
[267] Primary government expenditures as a proportion of original approved budget, by sector (or by budget | pub=United Nations | desc: Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.6
[268] Proportion of population satisfied with their last experience of public services | pub=United Nations | desc: Proportion of population satisfied with their last experience of public services | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.6
[269] Proportions of positions in national and local institutions, including (a) the legislatures; (b) the | pub=United Nations | desc: Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons wit | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.7
[270] Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disab | pub=United Nations | desc: Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.7
[271] Proportion of members and voting rights of developing countries in international organizations | pub=United Nations | desc: Proportion of members and voting rights of developing countries in international organizations | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.8
[272] Proportion of children under 5 years of age whose births have been registered with a civil authority | pub=United Nations | desc: Proportion of children under 5 years of age whose births have been registered with a civil authority, by age | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.9
[273] Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and tor | pub=United Nations | desc: Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the p | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.10
[274] Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for  | pub=United Nations | desc: Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.10
[275] Existence of independent national human rights institutions in compliance with the Paris Principles | pub=United Nations | desc: Existence of independent national human rights institutions in compliance with the Paris Principles | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.a
[276] Proportion of population reporting having personally felt discriminated against or harassed in the p | pub=United Nations | desc: Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human ri | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG16, target-16.b
[277] Total government revenue as a proportion of GDP, by source | pub=United Nations | desc: Total government revenue as a proportion of GDP, by source | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.1
[278] Proportion of domestic budget funded by domestic taxes | pub=United Nations | desc: Proportion of domestic budget funded by domestic taxes | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.1
[279] Net official development assistance, total and to least developed countries, as a proportion of the  | pub=United Nations | desc: Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.2
[280] Volume of remittances (in United States dollars) as a proportion of total GDP | pub=United Nations | desc: Volume of remittances (in United States dollars) as a proportion of total GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.3
[281] Additional financial resources mobilized for developing countries from multiple sources | pub=United Nations | desc: Additional financial resources mobilized for developing countries from multiple sources | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.3
[282] Debt service as a proportion of exports of goods, services and primary income | pub=United Nations | desc: Debt service as a proportion of exports of goods, services and primary income | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.4
[283] Number of countries that adopt and implement investment promotion regimes for developing countries,  | pub=United Nations | desc: Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.5
[284] Fixed broadband subscriptions per 100 inhabitants, by speed | pub=United Nations | desc: Fixed broadband subscriptions per 100 inhabitants, by speed | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.6
[285] Total amount of funding for developing and developed countries to promote the development, transfer, | pub=United Nations | desc: Total amount of funding for developing and developed countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.7
[286] Dollar value of official development assistance committed to developing countries | pub=United Nations | desc: Dollar value of official development assistance committed to developing countries | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.9
[287] Developing countries’ and least developed countries’ share of global exports | pub=United Nations | desc: Developing countries’ and least developed countries’ share of global exports | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.11
[288] Weighted average tariffs faced by developing countries, least developed countries and small island d | pub=United Nations | desc: Weighted average tariffs faced by developing countries, least developed countries and small island developing States | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.12
[289] Number of countries with mechanisms in place to enhance policy coherence of sustainable development | pub=United Nations | desc: Number of countries with mechanisms in place to enhance policy coherence of sustainable development | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.14
[290] Extent of use of country-owned results frameworks and planning tools by providers of development coo | pub=United Nations | desc: Extent of use of country-owned results frameworks and planning tools by providers of development cooperation | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.15
[291] Number of countries reporting progress in multi-stakeholder development effectiveness monitoring fra | pub=United Nations | desc: Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.16
[292] Amount in United States dollars committed to public-private partnerships for infrastructure | pub=United Nations | desc: Amount in United States dollars committed to public-private partnerships for infrastructure | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.17
[293] Number of countries that have national statistical legislation that complies with the Fundamental Pr | pub=United Nations | desc: Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.18
[294] Number of countries with a national statistical plan that is fully funded and under implementation,  | pub=United Nations | desc: Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.18
[295] Dollar value of all resources made available to strengthen statistical capacity in developing countr | pub=United Nations | desc: Dollar value of all resources made available to strengthen statistical capacity in developing countries | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.19
[296] Proportion of countries that (a) have conducted at least one population and housing census in the la | pub=United Nations | desc: Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registratio | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.19
[297] Availability of estimates on large  health expenditures as a share of total expenditure or income | pub=WHO | desc: Availability of estimates on large  health expenditures as a share of total expenditure or income | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[298] Population with household spending on health greater than 25% of total household budget (SDG 3.8.2,  | pub=WHO | desc: Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[299] Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%) | pub=WHO | desc: Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
