[1457] Percentage of principal display area mandated to be covered by health warnings - front of other smok | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1458] Percentage of principal display area mandated to be covered by health warnings - back of cigarette p | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - back of cigarette packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1459] Are the health warnings on cigarette packaging rotating? | pub=WHO | desc: Are the health warnings on cigarette packaging rotating? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1460] Health warnings on other smoked tobacco packaging must not be obscured in any way including by requi | pub=WHO | desc: Health warnings on other smoked tobacco packaging must not be obscured in any way including by required markings such as tax stamps | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1461] Health warnings on cigarette packaging must be placed at the top of the principal display areas of t | pub=WHO | desc: Health warnings on cigarette packaging must be placed at the top of the principal display areas of the package | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1462] Licensing required for exports of alcoholic beverages | pub=WHO | desc: Licensing required for exports of alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1463] Children aged 36-59 months who are developmentally on track in at least three of the following domai | pub=WHO | desc: Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1464] Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics ( | pub=WHO | desc: Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1465] Prevalence of smoking any tobacco product among adults (&#8805;15 years) (%) | pub=WHO | desc: Prevalence of smoking any tobacco product among adults (&#8805;15 years) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1466] Prevalence of current tobacco use among adolescents (13-15 years) (%) | pub=WHO | desc: Prevalence of current tobacco use among adolescents (13-15 years) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1467] Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older | pub=WHO | desc: Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1468] Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2) | pub=WHO | desc: Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1469] Proportion of children in grades 2/3 achieving at least a minimum proficiency level in reading (%) | pub=WHO | desc: Proportion of children in grades 2/3 achieving at least a minimum proficiency level in reading (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1470] Proportion of children at the end of primary achieving at least a minimum proficiency level in mathe | pub=WHO | desc: Proportion of children at the end of primary achieving at least a minimum proficiency level in mathematics (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1471] Proportion of children at the end of primary achieving at least a minimum proficiency level in readi | pub=WHO | desc: Proportion of children at the end of primary achieving at least a minimum proficiency level in reading (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1472] Percentage of women (15+ years) exposed to second-hand smoke | pub=WHO | desc: Percentage of women (15+ years) exposed to second-hand smoke | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1473] Percentage of men (15+ years) exposed to second-hand smoke | pub=WHO | desc: Percentage of men (15+ years) exposed to second-hand smoke | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1474] Second-hand smoke attributable deaths per 100'000 capita | pub=WHO | desc: Second-hand smoke attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1475] Proportion of women aged 20-24 years who were married or in a union by age 18 (%) | pub=WHO | desc: Proportion of women aged 20-24 years who were married or in a union by age 18 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1476] Number of incident tuberculosis cases in children aged 0 - 14 | pub=WHO | desc: Number of incident tuberculosis cases in children aged 0 - 14 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1477] Incidence of tuberculosis (per 100 000 population) (HIV-positive cases) | pub=WHO | desc: Incidence of tuberculosis (per 100 000 population) (HIV-positive cases) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1478] Estimated MDR-TB cases among notified pulmonary TB cases | pub=WHO | desc: Estimated MDR-TB cases among notified pulmonary TB cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1479] New or unknown treatment history cases: Pulmonary, bacteriologically confirmed | pub=WHO | desc: New or unknown treatment history cases: Pulmonary, bacteriologically confirmed | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1480] Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relation | pub=WHO | desc: Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1481] Proportion of children under 5 years of age whose births have been registered with a civil authority | pub=WHO | desc: Proportion of children under 5 years of age whose births have been registered with a civil authority | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1482] Proportion of countries that have conducted at least one population and housing census in the last 1 | pub=WHO | desc: Proportion of countries that have conducted at least one population and housing census in the last 10 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1483] Number of countries that have conducted at least one population and housing census in the last 10 ye | pub=WHO | desc: Number of countries that have conducted at least one population and housing census in the last 10 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1484] Number of national population surveys - child mortality | pub=WHO | desc: Number of national population surveys - child mortality | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1485] Retreatment cases: treatment after failure (pulmonary smear and/or culture positive) | pub=WHO | desc: Retreatment cases: treatment after failure (pulmonary smear and/or culture positive) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1486] Proportion of population below the international poverty line of US$1.90 per day (%) | pub=WHO | desc: Proportion of population below the international poverty line of US$1.90 per day (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1487] Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 p | pub=WHO | desc: Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1488] International Statistical Classification of Diseases and Related Health Problems (ICD) | pub=WHO | desc: International Statistical Classification of Diseases and Related Health Problems (ICD) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1489] Number of national population surveys -  HIV prevalence | pub=WHO | desc: Number of national population surveys -  HIV prevalence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1490] Treatment success rate: previously treated TB cases | pub=WHO | desc: Treatment success rate: previously treated TB cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1491] Confirmed cases of MDR-TB started treatment for MDR-TB (%) | pub=WHO | desc: Confirmed cases of MDR-TB started treatment for MDR-TB (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1492] Number of incident tuberculosis cases,  (HIV-positive cases) | pub=WHO | desc: Number of incident tuberculosis cases,  (HIV-positive cases) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1493] HIV-positive TB patients on ART (antiretroviral therapy) (%) | pub=WHO | desc: HIV-positive TB patients on ART (antiretroviral therapy) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1494] HIV-positive TB patients on CPT (co-trimoxazole preventive therapy) (%) | pub=WHO | desc: HIV-positive TB patients on CPT (co-trimoxazole preventive therapy) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1495] Proportion of children at the end of lower secondary achieving at least a minimum proficiency level  | pub=WHO | desc: Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in reading (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1496] Relapse cases: Pulmonary, bacteriologically confirmed | pub=WHO | desc: Relapse cases: Pulmonary, bacteriologically confirmed | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1497] Retreatment cases: treatment after default (pulmonary smear and/or culture positive) | pub=WHO | desc: Retreatment cases: treatment after default (pulmonary smear and/or culture positive) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1498] Second-line drug susceptibility testing (DST) available | pub=WHO | desc: Second-line drug susceptibility testing (DST) available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1499] Second-hand smoke attributable DALYs ('000) in children under 5 years | pub=WHO | desc: Second-hand smoke attributable DALYs ('000) in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
