[2085] Alcohol-attributable DALYs per 100,000 people (age standardized) | pub=WHO | desc: Alcohol-attributable DALYs per 100,000 people (age standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2086] Mean hemoglobin level of pregnant women (aged 15-49 years) | pub=WHO | desc: Mean hemoglobin level of pregnant women (aged 15-49 years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2087] People living with chronic hepatitis B (HBV) (number) | pub=WHO | desc: People living with chronic hepatitis B (HBV) (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2088] Number of WCO staff considered as core by the CPCP initiative (%) | pub=WHO | desc: Number of WCO staff considered as core by the CPCP initiative (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2089] Service Capacity Index for Substance Use Disorders (SCI-SUD) | pub=WHO | desc: Service Capacity Index for Substance Use Disorders (SCI-SUD) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2090] Prevalent cases of chlamydia in individuals (in thousands) | pub=WHO | desc: Prevalent cases of chlamydia in individuals (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2091] IHR Coordination and National IHR Focal Point Functions | pub=WHO | desc: IHR Coordination and National IHR Focal Point Functions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2092] Foodborne years of life lost per case, aged less than 5 years | pub=WHO | desc: Foodborne years of life lost per case, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2093] Prevalence of current e-cigarette use among adults (%) | pub=WHO | desc: Prevalence of current e-cigarette use among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2094] Population pushed further below a relative poverty line by household health expenditures - 60% of me | pub=WHO | desc: Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2095] NLIS: Continued breastfeeding at 1 year in infants 12-15 months (%) | pub=WHO | desc: NLIS: Continued breastfeeding at 1 year in infants 12-15 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2096] Cheapest brand of cigarettes - price in currency reported | pub=WHO | desc: Cheapest brand of cigarettes - price in currency reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2097] National health and climate change plan or strategy developed | pub=WHO | desc: National health and climate change plan or strategy developed | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2098] Number of people diagnosed with new episode of pulmonary TB who have extrapulmonary TB. | pub=WHO | desc: Number of people diagnosed with new episode of pulmonary TB who have extrapulmonary TB. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2099] Primary health care expenditure (PHCE) per сapita in US$ | pub=WHO | desc: Primary health care expenditure (PHCE) per сapita in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
