[839] Age-standardized death rates (15+ years), poisoning, per 100,000 | pub=WHO | desc: Age-standardized death rates (15+ years), poisoning, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[840] Estimated number of people receiving activities of daily living support services in community for de | pub=WHO | desc: Estimated number of people receiving activities of daily living support services in community for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[841] Estimated number of people with dementia receiving social and financial protection for dementia | pub=WHO | desc: Estimated number of people with dementia receiving social and financial protection for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[842] National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS | pub=WHO | desc: National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[843] Geriatric-specific hospital beds (per 10,000 population) | pub=WHO | desc: Geriatric-specific hospital beds (per 10,000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[844] Density of outpatient social centres (per 100,000 population) | pub=WHO | desc: Density of outpatient social centres (per 100,000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[845] Years of life lost from mortality (YLLs) (per 100 000 population) | pub=WHO | desc: Years of life lost from mortality (YLLs) (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[846] Current health expenditure (CHE) per capita in PPP int$ | pub=WHO | desc: Current health expenditure (CHE) per capita in PPP int$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[847] Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%) | pub=WHO | desc: Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[848] Age-standardized death rates (15+ years), violence, per 100,000 | pub=WHO | desc: Age-standardized death rates (15+ years), violence, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[849] Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI | pub=WHO | desc: Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[850] Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI | pub=WHO | desc: Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[851] Perceived trend in alcohol-related harm and consequences | pub=WHO | desc: Perceived trend in alcohol-related harm and consequences | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[852] Alcohol-related road traffic crashes, per 100,000 population | pub=WHO | desc: Alcohol-related road traffic crashes, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[853] Occupational ergonomic stressors attributable DALYs ('000) | pub=WHO | desc: Occupational ergonomic stressors attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[854] Occupational ergonomic stressors attributable deaths per 100'000 capita | pub=WHO | desc: Occupational ergonomic stressors attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[855] Occupational injuries attributable DALYs per 100'000 capita | pub=WHO | desc: Occupational injuries attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[856] Occupational airborne particulates attributable DALYs ('000) | pub=WHO | desc: Occupational airborne particulates attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[857] Occupational airborne particulates attributable deaths per 100'000 capita | pub=WHO | desc: Occupational airborne particulates attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
