[2151] Existence of national guidelines for physical activity for children under 5 | pub=WHO | desc: Existence of national guidelines for physical activity for children under 5 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2152] Tobacco Monitor: school-based national surveys, tobacco use, tobacco smoking, and cigarette smoking | pub=WHO | desc: Tobacco Monitor: school-based national surveys, tobacco use, tobacco smoking, and cigarette smoking | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2153] Prevalence of bacteriologically-confirmed pulmonary TB among those aged ≥15 years, per 100,000 popul | pub=WHO | desc: Prevalence of bacteriologically-confirmed pulmonary TB among those aged ≥15 years, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2154] Road traffic crash deaths, alcohol-attributable, age-standardized death rates, per 100,000 populatio | pub=WHO | desc: Road traffic crash deaths, alcohol-attributable, age-standardized death rates, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2155] Number of malaria cases treated with artemisinin-based combination therapies (ACTs) | pub=WHO | desc: Number of malaria cases treated with artemisinin-based combination therapies (ACTs) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2156] Exclusively breastfed for the first two days after birth | pub=WHO | desc: Exclusively breastfed for the first two days after birth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2157] Substance use disorders service coverage, non-structured services | pub=WHO | desc: Substance use disorders service coverage, non-structured services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2158] Oral health interventions as part of health benefit packages: Essential curative oral health care | pub=WHO | desc: Oral health interventions as part of health benefit packages: Essential curative oral health care | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2159] Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics | pub=WHO | desc: Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2160] People living with HIV diagnosed with chronic hepatitis C infection (percent) | pub=WHO | desc: People living with HIV diagnosed with chronic hepatitis C infection (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
