[1640] Early initiation of breastfeeding (in the two years preceding the survey) (%) | pub=WHO | desc: Early initiation of breastfeeding (in the two years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1641] Total population pushed further below the $3.20 a day poverty line by household health expenditures  | pub=WHO | desc: Total population pushed further below the $3.20 a day poverty line by household health expenditures (millions, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1642] Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB  | pub=WHO | desc: Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q5 (highest) income or expenditure quantile. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1643] Existence of a national target on drug therapy and counselling | pub=WHO | desc: Existence of a national target on drug therapy and counselling | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1644] People living with chronic hepatitis C (HCV) including cured (all ages) (adjusted number) | pub=WHO | desc: People living with chronic hepatitis C (HCV) including cured (all ages) (adjusted number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1645] Substance use disorders service coverage, data on prevalence of substance use/ substance use disorde | pub=WHO | desc: Substance use disorders service coverage, data on prevalence of substance use/ substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1646] Foodborne disability-adjusted life years, aged 5 years and above | pub=WHO | desc: Foodborne disability-adjusted life years, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1647] Households  impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: fo | pub=WHO | desc: Households  impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1648] Tobacco Enforce bans: E3 indirect advertising, additional bans | pub=WHO | desc: Tobacco Enforce bans: E3 indirect advertising, additional bans | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1649] Prevalence of current cigarette smoking among adolescents (%) | pub=WHO | desc: Prevalence of current cigarette smoking among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1650] Prevalence of bacteriologically-confirmed pulmonary TB who are smear positive among those aged ≥15 y | pub=WHO | desc: Prevalence of bacteriologically-confirmed pulmonary TB who are smear positive among those aged ≥15 years, per 100,000 population by age group | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1651] Overall compliance with bans on direct advertising (score) | pub=WHO | desc: Overall compliance with bans on direct advertising (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1652] Tobacco Raise taxes: Annual tax revenues from tobacco products, latest reporting period | pub=WHO | desc: Tobacco Raise taxes: Annual tax revenues from tobacco products, latest reporting period | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1653] Tobacco Warning: W2a cigarette packaging health warnings, other characteristics | pub=WHO | desc: Tobacco Warning: W2a cigarette packaging health warnings, other characteristics | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1654] Population pushed below the $2.15 a day poverty line by household health expenditures (%, national,  | pub=WHO | desc: Population pushed below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1655] Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%) | pub=WHO | desc: Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1656] Substance use disorders service coverage, medicine quantitative data on the number of prescriptions/ | pub=WHO | desc: Substance use disorders service coverage, medicine quantitative data on the number of prescriptions/sales is available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1657] Percentage of people living with HIV who have suppressed viral loads | pub=WHO | desc: Percentage of people living with HIV who have suppressed viral loads | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
