[6473] Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6474] Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6475] Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6476] Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6477] Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6478] Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6479] Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6480] Proportion of population spending more than 10% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure | cols: country, date, value, indicator
[6481] Proportion of population spending more than 10% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure | cols: country, date, value, indicator
[6482] Proportion of population spending more than 10% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure | cols: country, date, value, indicator
[6483] Proportion of population spending more than 10% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure | cols: country, date, value, indicator
[6484] Proportion of population spending more than 10% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure | cols: country, date, value, indicator
[6485] Proportion of population spending more than 10% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure | cols: country, date, value, indicator
[6486] Proportion of population spending more than 25% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure | cols: country, date, value, indicator
[6487] Proportion of population spending more than 25% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure | cols: country, date, value, indicator
[6488] Proportion of population spending more than 25% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure | cols: country, date, value, indicator
[6489] Proportion of population spending more than 25% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure | cols: country, date, value, indicator
[6490] Proportion of population spending more than 25% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure | cols: country, date, value, indicator
[6491] Proportion of population spending more than 25% of household consumption or income on out-of-pocket  | pub=World Bank | desc: Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure | cols: country, date, value, indicator
[6492] Unmet need for contraception (% of females ages 15-49) | pub=World Bank | desc: Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012) | cols: country, date, value, indicator
[6493] Unmet need for contraception (% of females ages 15-49): Q1 (lowest) | pub=World Bank | desc: Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012) | cols: country, date, value, indicator
[6494] Unmet need for contraception (% of females ages 15-49): Q2 | pub=World Bank | desc: Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012) | cols: country, date, value, indicator
[6495] Unmet need for contraception (% of females ages 15-49): Q3 | pub=World Bank | desc: Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012) | cols: country, date, value, indicator
[6496] Unmet need for contraception (% of females ages 15-49): Q4 | pub=World Bank | desc: Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012) | cols: country, date, value, indicator
[6497] Unmet need for contraception (% of females ages 15-49): Q5 (highest) | pub=World Bank | desc: Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012) | cols: country, date, value, indicator
[6498] DHS: Net intake rate for the first grade of primary education | pub=World Bank | desc: Net intake rate for the first grade of primary education is the number of new pupils attending the first grade of primary education who are of the official primary school entrance age, expressed as a  | cols: country, date, value, indicator
[6499] DHS: Net intake rate for the first grade of primary education. Female | pub=World Bank | desc: Net intake rate for the first grade of primary education. Female is the number of new female pupils attending the first grade of primary education who are of the official primary school entrance age,  | cols: country, date, value, indicator
