[621] WLPT-II Scores by District_2011 | pub=WA State (data.wa.gov) | cols: PercentNoScore, PercentTransitioned, PreviouslyTransitioned, SchoolYear, PercentLevel1, TotalTransitioned, TotalTested, ESD, Level3, County | tags: student, k-12, ospi, 2011, assessment, district
[655] MSP-HSPE Scores by School_2011 | pub=WA State (data.wa.gov) | cols: ReadingWAASPORT, ReadingPercentLevel1, MathLevel1, MathLevelIndex, ScienceExempted, ReadingNotMet, ReadingPercentMetStandardExcludingNoScore, SchoolYear, MathWAASDAPE, SciencePercentNoScore | tags: assessment, student, ospi, k-12, 2011, reportcard
[657] Demographic Information by District_2009 | pub=WA State (data.wa.gov) | cols: NumberAsian, PercentTeachersWithAtLeastMasterDegree, NumberTeachersWithAtLeastMasterDegree, StudentsPerClassroomTeacher, PercentFreeorReducedPricedMeals, PercentTransitionalBilingual, PercentFemales, NumberFemales, NumberMales, PercentWhite | tags: enrollment, student, k-12, ospi, reportcard, 2009
[658] WASL Scores by School_2002 | pub=WA State (data.wa.gov) | cols: ReadingTotalMSP_HSPETested, ScienceNoScore, ReadingLevel4, ScienceTotalMSP_HSPETested, ReadingPercentLevel4, ReadingExempted, ReadingNotMet, MathPercentMetStandardWithoutPrevPass, ReadingPercentLevelBasic, ScienceWAASDAPE | tags: k-12, assessment, school, student, reportcard, 2002
[659] WASL Scores by State_2005 | pub=WA State (data.wa.gov) | cols: ScienceTotalTestedNotTested, ScienceMetStandardWithoutPrevPass, WritingPercentLevel1, SciencePercentMetStandardWithoutPrevPass, ReadingPercentLevel3, ReadingLevel4, ScienceWAASDAPE, ScienceLevel3, WritingNotMet, SciencePercentNoScore | tags: 2005, student, state, assessment, k-12, reportcard
[660] CTE Course Enrollment by District - cluster areas_2016 | pub=WA State (data.wa.gov) | cols: Participant Counts, Cluster Area Number, Subgroup, SchoolYear, Concentrator Counts, District, CountyDistrictNumber, County, ESD, Cluster Area Name | tags: district, cte, 2016, reportcard, student, ospi
[661] WASL Scores by District_2006 | pub=WA State (data.wa.gov) | cols: MathExempted, SciencePercentMetStandardExcludingNoScore, SchoolYear, MathWAASPORT, MathMetStandardIncludingPrevPass, WritingExempted, ReadingLevel2, ReadingPercentMetStandardIncludingPrevPass, SciencePercentLevel2, ReadingPercentNoScore | tags: district, assessment, 2006, reportcard, ospi, student
[662] EOC Scores by School_2013 | pub=WA State (data.wa.gov) | cols: Integrated1PercentLevel4, Retake1PercentLevelBasic, Retake2Exempted, Retake1Level4, Retake2ExcusedAbsence, Retake2PercentLevel3, Retake2PercentMetStandardWithoutPrevPass, Retake1PercentMetStandardIncludingPrevPass, Retake2MetStandardIncludingPrevPass, Retake2PercentLevelBasic | tags: ospi, assessment, 2013, reportcard, school, student
[663] AMAO by School_2012 | pub=WA State (data.wa.gov) | cols: Amao2Level3, MetAll3AMAOs, Amao1MetTarget, Amao1StudentsMatched, Amao2TotalStudents, Amao2Unscored, Amao3MetReadingProficiencyParticipation, Amao2PercentTransitioning, Consortium, Column2 | tags: school, accountability, ospi, student, reportcard, 2012
[664] WASL Scores by State_2007 | pub=WA State (data.wa.gov) | cols: ScienceLevel4, ScienceExcusedAbsence, SciencePercentNotMet, SciencePercentLevel3, SciencePercentMetStandardWithoutPrevPass, ScienceMetStandardIncludingPrevPass, ScienceTotalTestedNotTested, WritingMetStandardWithoutPrevPass, MathNotMet, MathPercentLevel3 | tags: 2007, k-12, reportcard, state, student, ospi
[665] AYP Data by School - overall_2009 | pub=WA State (data.wa.gov) | cols: SchoolYear, SchoolImprovement, TitleI, SchoolName, ESD, CountyName, BuildingNumber, DistrictName, MetAYP, DistrictCode | tags: ospi, reportcard, school, 2009, accountability, k-12
