[75] Crypto Polygon | pub=Google BigQuery | cols: timestamp, number, hash, parent_hash, nonce, sha3_uncles, logs_bloom, transactions_root, state_root, receipts_root | tags: bigquery, public-data
[76] Crypto Solana Mainnet Us | pub=Google BigQuery | cols: block_slot, block_hash, block_timestamp, pubkey, tx_signature, retrieval_timestamp, executable, lamports, owner, rent_epoch | tags: bigquery, public-data
[77] Crypto Sui Mainnet Us | pub=Google BigQuery | cols: checkpoint_digest, sequence_number, epoch, timestamp_ms, previous_checkpoint_digest, end_of_epoch, total_gas_cost, computation_cost, storage_cost, storage_rebate | tags: bigquery, public-data
[78] Crypto Tezos | pub=Google BigQuery | cols: level, timestamp, block_hash, branch, signature, operation_hash, operation_group_index, operation_index, content_index, internal_operation_index | tags: bigquery, public-data
[79] Crypto Theta | pub=Google BigQuery | cols: type, chain_id, epoch, height, parent, transactions_hash, state_hash, timestamp, proposer, hcc | tags: bigquery, public-data
[80] Crypto Zcash | pub=Google BigQuery | cols: hash, size, stripped_size, weight, number, version, merkle_root, timestamp, timestamp_month, nonce | tags: bigquery, public-data
[81] Crypto Zilliqa | pub=Google BigQuery | cols: number, timestamp, difficulty, difficulty_ds, gas_price, ds_leader_pub_key, ds_leader_address, prev_hash, signature, block_number | tags: bigquery, public-data
[82] Cymbal Investments | pub=Google BigQuery | cols: SendingTime, TargetCompID, SenderCompID, Symbol, Quantity, OrderID, TransactTime, StrikePrice, LastPx, MaturityDate | tags: bigquery, public-data
[83] Dataflix Covid | pub=Google BigQuery | cols: country_name, state_name, county_code_fips, county_name, Latitude, longitude, confirmed, deaths, recovered, active | tags: bigquery, public-data
[84] Dataflix Traffic Safety | pub=Google BigQuery | cols: L_YEAR, STATE, ST_CASE, VE_TOTAL, VE_FORMS, PVH_INVL, PEDS, PERNOTMVIT, PERMVIT, PERSONS | tags: bigquery, public-data
[85] Deepmind Alphafold | pub=Google BigQuery | cols: allVersions, latestVersion, organismCommonNames, uniprotEnd, proteinShortNames, uniprotStart, fractionPlddtConfident, organismSynonyms, fractionPlddtVeryHigh, proteinFullNames | tags: bigquery, public-data
[86] Deps Dev V1 | pub=Google BigQuery | cols: SnapshotAt, Source, SourceID, SourceURL, Title, Description, ReferenceURLs, CVSS3Score, Severity, GitHubSeverity | tags: bigquery, public-data
[87] Dimensions Ai Covid19 | pub=Google BigQuery | cols: id, title, brief_title, abstract, acronym, phase, overall_status, registry, linkout, gender | tags: bigquery, public-data
[88] Ebi Chembl | pub=Google BigQuery | cols: action_type, description, parent_type, action_type, description, parent_type, action_type, description, parent_type, action_type | tags: bigquery, public-data
[89] Ebi Mgnify | pub=Google BigQuery | cols: architecture_hash, architecture, assembly_id, accession, study_id, biome_id, pipeline_version, biome_id, lineage, mgyc | tags: bigquery, public-data
[90] Ebi Surechembl | pub=Google BigQuery | cols: schembl_id, smiles, inchi_key, corpus_frequency, patent_id, publication_date, field, field_frequency, schembl_id, smiles | tags: bigquery, public-data
[91] Eclipse Megamovie | pub=Google BigQuery | cols: index_id, field_ra, field_y, index_dec, field_id, id, BACKGROUND, field_x, index_x, index_y | tags: bigquery, public-data
[92] Epa Historical Air Quality | pub=Google BigQuery | cols: state_code, county_code, site_num, parameter_code, poc, latitude, longitude, datum, parameter_name, sample_duration | tags: bigquery, public-data
[93] Ethereum Blockchain | pub=Google BigQuery | cols: timestamp, number, hash, parent_hash, nonce, sha3_uncles, logs_bloom, transactions_root, state_root, receipts_root | tags: bigquery, public-data
[94] Etsi Technical Standards | pub=Google BigQuery | cols: PublicationNumber, StandardBody, TechnicalStandard | tags: bigquery, public-data
[95] Faa | pub=Google BigQuery | cols: object_id, global_id, faa_identifier, name, latitude, longitude, airport_geom, elevation, icao_id, airport_type | tags: bigquery, public-data
[96] Fcc Political Ads | pub=Google BigQuery | cols: stationId, callSign, service, rfChannel, virtualChannel, licenseExpirationDate, statusDate, status, communityCity, communityState | tags: bigquery, public-data
[97] Fda Drug | pub=Google BigQuery | cols: classification, center_classification_date, report_date, postal_code, termination_date, recall_initiation_date, recall_number, city, more_code_info, event_id | tags: bigquery, public-data
[98] Fda Food | pub=Google BigQuery | cols: classification, center_classification_date, report_date, postal_code, termination_date, recall_initiation_date, recall_number, city, event_id, distribution_pattern | tags: bigquery, public-data
[99] Fdic Banks | pub=Google BigQuery | cols: fdic_certificate_number, institution_name, state_name, fdic_id, docket, active, address, total_assets, bank_charter_class, change_code_1 | tags: bigquery, public-data
