[841] 19B - Signal Diagnostic Evaluations 2018 | pub=City of Seattle | cols: Month, Accumulated number of signal diagnostic evaluations completed in 2018
[842] 20 - Miles Of Arterials Connected With ITS2018 | pub=City of Seattle | cols: Month, Accumulated miles of arterial streets connected with ITS technology in 2018
[843] 16A - Trees Planted 2019 Final | pub=City of Seattle | cols: Accumulated number of trees planted this year, Month
[844] 4E - Regulatory Signs Replaced 2019 | pub=City of Seattle | cols: Month, Accumulated number of regulatory street signs replaced this year
[845] Trees Pruned 2020 Q2 | pub=City of Seattle | cols: Accumulated number of trees pruned this year, Month
[846] 25 - New Blocks of Sidewalk 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of new equivalent sidewalk blocks built this year
[847] 2 - Safe Routes to School Projects 2019 | pub=City of Seattle | cols: Month, Accumulated number of Safe Routes to School projects completed this year
[848] 16E - Tree or Vegetation Obstruction Removed 2019 | pub=City of Seattle | cols: Accumulated number of tree or vegetation obstructions removed this year, Month
[849] 27A - New Bike Parking Spaces 2019 Final | pub=City of Seattle | cols: Accumulated number of new bike parking spaces built this year, Month
[850] Miles of ITS Added 2020 Q2 | pub=City of Seattle | cols: Accumulated miles of arterial streets connected with ITS technology this year, Month
[851] 16D - Landscapes Maintained 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of landscapes maintained this year
