[733] 30 - Freight Spot Improvements2018 | pub=City of Seattle | cols: Accumulated number of freight spot improvements built in 2018, Month
[734] 5B - Neighborhood Greenways 2018 | pub=City of Seattle | cols: Accumulated miles of Neighborhood Greenways built in 2018, Month
[735] Rapid Ride 2016-11 D Line | pub=City of Seattle | cols: Month, RapidRide D Line Headway Adherence
[736] 27A - New Bike Parking Spaces 2018 | pub=City of Seattle | cols: Month, Accumulated number of new bike parking spaces built in 2018
[737] Safe and Healthy Communities - Obj 4 - Immunization Rates Data | pub=City of Seattle | cols: Percent of Seattle kindergartners who completed required immunizations, School year ending, Percent of WA state kindergartners who completed required immunizations
[738] 16 D - Landscapes Maintained2018 | pub=City of Seattle | cols: Month, Accumulated number of landscapes maintained in 2018
[739] 16E - Tree or Vegetation Obstruction Removal 2018 | pub=City of Seattle | cols: Month, Accumulated number of tree or vegetation obstructions removed in 2018
[740] 9 - Repave with AAC Program 2019 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AAC program this year, Month
[741] 7 - ADA Curb Ramps 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of intersections that received Customer Service requested curb ramp upgrades this year
[742] 5B - Neighborhood Greenways Q32019 | pub=City of Seattle | cols: Accumulated miles of Neighborhood Greenways built this year, Month
[743] 20 - Miles of Arterials Connected with ITS 2019 | pub=City of Seattle | cols: Accumulated miles of arterial streets connected with ITS technology this year, Month
[744] 4C - Traffic Spot Imps 2020 Q3 | pub=City of Seattle | cols: Accumulated number of traffic spot improvements completed this year, Month
[745] 4D - Corridors Optimized 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of corridors with optimized signal timing this year
[746] 16A - Trees Planted 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of trees planted this year
[747] 25 - New Sidewalks Built2018 | pub=City of Seattle | cols: Accumulated number of new equivalent sidewalk blocks built in 2018, Month
[748] 30 - Freight Spot Improvements 2019 | pub=City of Seattle | cols: Accumulated number of freight spot improvements built this year, Month
[749] 16C - Trees Removed 2020 Q3 | pub=City of Seattle | cols: Accumulated number of trees removed this year, Month
[750] 4C - Traffic Signal Spot Improvements Q32019 | pub=City of Seattle | cols: Accumulated number of traffic spot improvements completed this year, Month
[751] 5B - Neighborhood Greenways 2019 | pub=City of Seattle | cols: Month, Accumulated miles of Neighborhood Greenways built this year
