[100] Fec | pub=Google BigQuery | cols: cand_id, cand_name, cand_pty_affiliation, cand_election_yr, cand_office_st, cand_office, cand_office_district, cand_ici, cand_status, cand_pcc | tags: bigquery, public-data
[180] Google Political Ads | pub=Google BigQuery | cols: advertiser_id, region, advertiser_declared_name, advertiser_declared_regulatory_id, advertiser_declared_scope, advertiser_declared_promoter_name, advertiser_declared_promoter_address, advertiser_id, advertiser_name, country | tags: bigquery, public-data
[181] Google Trends | pub=Google BigQuery | cols: country_code, region_code, term, week, rank, refresh_date, country_name, region_name, score, percent_gain | tags: bigquery, public-data
[182] Google Trends Hourly | pub=Google BigQuery | cols: term, week, score, rank, percent_gain, refresh_time, dma_name, dma_id, dma_name, dma_id | tags: bigquery, public-data
[183] gretel_synthetic_text_to_sql | pub=Google BigQuery | tags: bigquery, public-data
[184] Hacker News | pub=Google BigQuery | cols: title, url, text, dead, by, score, time, timestamp, type, id | tags: bigquery, public-data
[185] Hud Zipcode Crosswalk | pub=Google BigQuery | cols: census_tract_geoid, zip_code, residential_ratio, business_ratio, other_ratio, total_ratio, zip_code, county_geoid, residential_ratio, business_ratio | tags: bigquery, public-data
[186] Human Genome Variants | pub=Google BigQuery | cols: Family_ID, Individual_ID, Paternal_ID, Maternal_ID, Gender, Phenotype, Population, Relationship, Siblings, Second_Order | tags: bigquery, public-data
[187] Human Variant Annotation | pub=Google BigQuery | cols: reference_name, start, end, reference_bases, alternate_bases, variant_id, quality, filter, names, call | tags: bigquery, public-data
[188] Idc Current | pub=Google BigQuery | cols: ID, Title, Access, source_doi, source_url, CancerTypes, TumorLocations, Subjects, Collections, Modalities | tags: bigquery, public-data
[189] Idc Current Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[190] Idc V1 | pub=Google BigQuery | cols: Collection, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated, idc_version_number, idc_version_timestamp | tags: bigquery, public-data
[191] Idc V10 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[192] Idc V11 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[193] Idc V11 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[194] Idc V12 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[195] Idc V12 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[196] Idc V13 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[197] Idc V13 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[198] Idc V14 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[199] Idc V14 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
